"usda_symbol","scientific_name","common_name","family","genus","usda_group"
"CAIN21","Capparis incana Kunth","hoary caper",,"Capparis","Dicot"
"CAIN40","Calypogeia integristipula Steph.",,,"Calypogeia","Liverwort"
"CAIN42","Canarium indicum L.","Java almond",,"Canarium","Dicot"
"CAING","Castilleja integra A. Gray var. gloriosa (Britton) Cockerell","wholeleaf Indian paintbrush",,"Castilleja","Dicot"
"CAJA5","Caulostramina jaegeri (Rollins) Rollins","cliffdweller",,"Caulostramina","Dicot"
"CAJU","Caloplaca jungermanniae (Vahl) Th. Fr.","Jungermann's orange lichen",,"Caloplaca","Lichen"
"CAKEK","Camissonia kernensis (Munz) P.H. Raven ssp. kernensis ","Kern County evening primrose",,"Camissonia","Dicot"
"CALA10","Carex lachenalii Schkuhr","twotipped sedge",,"Carex","Monocot"
"CALA13","Carex laeviculmis Meinsh.","smoothstem sedge",,"Carex","Monocot"
"CALA39","Camissonia lacustris P.H. Raven","grassland suncup",,"Camissonia","Dicot"
"CALA69","Castilleja lasiorhyncha (A. Gray) T.I. Chuang & Heckard","San Bernardino Mountains Indian paintbrush",,"Castilleja","Dicot"
"CALA7","Campanula lasiocarpa Cham.","mountain harebell",,"Campanula","Dicot"
"CALAC","Carex laxiculmis Schwein. var. copulata (L.H. Bailey) Fernald","spreading sedge",,"Carex","Monocot"
"CALAH","Castilleja lanata A. Gray ssp. hololeuca (Greene) T.I. Chuang & Heckard","whitefelt Indian paintbrush",,"Castilleja","Dicot"
"CALE18","Castilleja lemmonii A. Gray","Lemmon's Indian paintbrush",,"Castilleja","Dicot"
"CALE24","Carex leptopoda Mack.","taperfruit shortscale sedge",,"Carex","Monocot"
"CALE25","Caulanthus lemmonii S. Watson","Lemmon's wild cabbage",,"Caulanthus","Dicot"
"CALEL4","Carex leptalea Wahlenb. ssp. leptalea ","bristlystalked sedge",,"Carex","Monocot"
"CALES2","Camassia leichtlinii (Baker) S. Watson ssp. suksdorfii (Greenm.) Gould","Suksdorf's large camas",,"Camassia","Monocot"
"CALI20","Castilleja lineariiloba (Benth.) T.I. Chuang & Heckard","sagebrush Indian paintbrush",,"Castilleja","Dicot"
"CALI4","Castilleja linariifolia Benth.","Wyoming Indian paintbrush",,"Castilleja","Dicot"
"CALLI12","Callistemon R. Br.","bottlebrush",,"Callistemon","Dicot"
"CALO12","Calystegia longipes (S. Watson) Brummitt","Paiute false bindweed",,"Calystegia","Dicot"
"CALO13","Caloplaca lobulata (Flörke) de Lesd.",,,"Caloplaca","Lichen"
"CALOL2","Calamovilfa longifolia (Hook.) Scribn. var. longifolia ","prairie sandreed",,"Calamovilfa","Monocot"
"CALOT3","Calothamnus Labill.","netbush",,"Calothamnus","Dicot"
"CALU3","Carex lupuliformis Sartwell ex Dewey","false hop sedge",,"Carex","Monocot"
"CALU8","Carya ×ludoviciana (Ashe) Little [aquatica × texana]","hybrid hickory",,"Carya","Dicot"
"CALUL3","Caloplaca luteominia (Tuck.) Zahlbr. var. luteominia ",,,"Caloplaca","Lichen"
"CAMA","Cakile maritima Scop.","European searocket",,"Cakile","Dicot"
"CAMA21","Caesalpinia major (Medik.) Dandy & Exell","Hawai'i pearls",,"Caesalpinia","Dicot"
"CAMA3","Callitriche marginata Torr.","winged water-starwort",,"Callitriche","Dicot"
"CAMAI2","Carex magellanica Lam. ssp. irrigua (Wahlenb.) Hultén","boreal bog sedge",,"Carex","Monocot"
"CAMAM11","Calystegia malacophylla (Greene) Munz ssp. malacophylla var. malacophylla ","Sierra false bindweed",,"Calystegia","Dicot"
"CAMAM4","Calystegia malacophylla (Greene) Munz ssp. malacophylla ","Sierra false bindweed",,"Calystegia","Dicot"
"CAME16","Camissonia megalantha (Munz) P.H. Raven","largeflower suncup",,"Camissonia","Dicot"
"CAMI21","Cardiospermum microcarpum Kunth","heartseed",,"Cardiospermum","Dicot"
"CAMID2","Castilleja miniata Douglas ex Hook. ssp. dixonii (Fernald) Kartesz","giant red Indian paintbrush",,"Castilleja","Dicot"
"CAMIM6","Castilleja minor (A. Gray) A. Gray ssp. minor ","lesser Indian paintbrush",,"Castilleja","Dicot"
"CAMIN","Carex microchaeta T. Holm ssp. nesophila (T. Holm) A.E. Murray","Bering Sea sedge",,"Carex","Monocot"
"CAMO15","Canavalia molokaiensis O. Deg., I. Deg. & Sauer","Molokai jackbean",,"Canavalia","Dicot"
"CAMO3","Calochortus monophyllus (Lindl.) Lem.","yellow star-tulip",,"Calochortus","Monocot"
"CAMO32","Canadanthus modestus (Lindl.) G.L. Nesom","giant mountain aster",,"Canadanthus","Dicot"
"CAMO83","Castanea mollissima Blume","Chinese chestnut",,"Castanea","Dicot"
"CAMPS","Campsis Lour.","campsis",,"Campsis","Dicot"
"CAMU10","Calopogon multiflorus Lindl.","manyflower grasspink",,"Calopogon","Monocot"
"CAMU13","Camissonia multijuga (S. Watson) P.H. Raven","froststem suncup",,"Camissonia","Dicot"
"CANA4","Canavalia napaliensis H. St. John","Makaha Valley jackbean",,"Canavalia","Dicot"
"CANE18","Castilleja nervata Eastw.","Trans-Pecos Indian paintbrush",,"Castilleja","Dicot"
"CANE3","Carex nelsonii Mack.","Nelson's sedge",,"Carex","Monocot"
"CANI2","Carex nigricans C.A. Mey.","black alpine sedge",,"Carex","Monocot"
"CANON2","Carex norvegica Retz. ssp. norvegica ","Norway sedge",,"Carex","Monocot"
"CANU3","Calochortus nuttallii Torr. & A. Gray","sego lily",,"Calochortus","Monocot"
"CANU4","Carduus nutans L.","nodding plumeless thistle",,"Carduus","Dicot"
"CAOC5","Calycanthus occidentalis Hook. & Arn.","western sweetshrub",,"Calycanthus","Dicot"
"CAOCT2","Calystegia occidentalis (A. Gray) Brummitt ssp. occidentalis var. tomentella (Greene) Brummitt","chaparral false bindweed",,"Calystegia","Dicot"
"CAOK","Carex oklahomensis Mack.","Oklahoma sedge",,"Carex","Monocot"
"CAON","Carex ×oneillii Lepage [lenticularis × rostrata]","sedge",,"Carex","Monocot"
"CAOV3","Carya ovalis (Wangenh.) Sarg.","red hickory",,"Carya","Dicot"
"CAOV7","Canarium ovatum Engl.","pili nut",,"Canarium","Dicot"
"CAPA18","Carex parryana Dewey","Parry's sedge",,"Carex","Monocot"
"CAPA38","Camissonia parryi (S. Watson) P.H. Raven","redclay suncup",,"Camissonia","Dicot"
"CAPA67","Callicostella pallida (Hornsch.) Ångstr.","pale callicostella moss",,"Callicostella","Moss"
"CAPA7","Calycoseris parryi A. Gray","yellow tackstem",,"Calycoseris","Dicot"
"CAPA74","Carex paniculata L.",,,"Carex","Monocot"
"CAPAO","Castilleja parviflora Bong. var. oreopola (Greenm.) Ownbey","Henry Indian paintbrush",,"Castilleja","Dicot"
"CAPE5","Carex pelocarpa F.J. Herm.","duskyseed sedge",,"Carex","Monocot"
"CAPO","Carex podocarpa R. Br.","shortstalk sedge",,"Carex","Monocot"
"CAPR5","Carex praegracilis W. Boott","clustered field sedge",,"Carex","Monocot"
"CAPR6","Carex prairea Dewey ex Alph. Wood","prairie sedge",,"Carex","Monocot"
"CAPRA","Cardamine pratensis L. var. angustifolia Hook.","cuckoo flower",,"Cardamine","Dicot"
"CAPT","Camissonia pterosperma (S. Watson) P.H. Raven","wingfruit suncup",,"Camissonia","Dicot"
"CAPUS2","Calystegia purpurata (Greene) Brummitt ssp. solanensis (Jeps.) Brummitt","Solano false bindweed",,"Calystegia","Dicot"
