"usda_symbol","scientific_name","common_name","family","genus","usda_group"
"HEAM11","Hedosyne ambrosiifolia (A. Gray) Strother","ragged marsh-elder",,"Hedosyne","Dicot"
"HEAM4","Heliotropium amplexicaule Vahl","clasping heliotrope",,"Heliotropium","Dicot"
"HEAMA2","Heuchera americana L. var. americana ","American alumroot",,"Heuchera","Dicot"
"HEAMH","Heuchera americana L. var. hirsuticaulis (Wheelock) Rosend., Butters & Lakela","American alumroot",,"Heuchera","Dicot"
"HEAR2","Helenium arizonicum S.F. Blake","Arizona sneezeweed",,"Helenium","Dicot"
"HEAR23","Hexalectris arizonica (S.Watson) A.H. Kenn. & L.E. Watson","spiked crested coralroot",,"Hexalectris","Monocot"
"HEAR3","Helianthus argophyllus Torr. & A. Gray","silverleaf sunflower",,"Helianthus","Dicot"
"HEARC2","Heteromeles arbutifolia (Lindl.) M. Roem. var. cerina (Jeps.) A.E. Murray","toyon",,"Heteromeles","Dicot"
"HEAU","Helenium autumnale L.","common sneezeweed",,"Helenium","Dicot"
"HEBI3","Hesperolinon bicarpellatum (H. Sharsm.) H. Sharsm.","twocarpel dwarf-flax",,"Hesperolinon","Dicot"
"HEBO","Hedysarum boreale Nutt.","Utah sweetvetch",,"Hedysarum","Dicot"
"HEBOB","Hedysarum boreale Nutt. ssp. boreale ","Utah sweetvetch",,"Hedysarum","Dicot"
"HEBOB2","Hedysarum boreale Nutt. ssp. boreale var. boreale ","Utah sweetvetch",,"Hedysarum","Dicot"
"HEBR10","Helictotrichon bromoides (Gouan) C.E. Hubb.",,,"Helictotrichon","Monocot"
"HEBR3","Heuchera brevistaminea Wiggins","Laguna Mountain alumroot",,"Heuchera","Dicot"
"HEBR5","Helianthus ×brevifolius E.E. Watson (pro sp.) [grosseserratus × mollis]","shortleaf sunflower",,"Helianthus","Dicot"
"HEBR8","Hevea brasiliensis (Willd. ex A. Juss.) Müll. Arg.","rubber tree",,"Hevea","Dicot"
"HECA11","Hesperolinon californicum (Benth.) Small","California dwarf-flax",,"Hesperolinon","Dicot"
"HECA29","Heterodermia casarettiana (A. Massal.) Trevis.","Casarett's shield lichen",,"Heterodermia","Lichen"
"HECA7","Hesperochiron californicus (Benth.) S. Watson","California hesperochiron",,"Hesperochiron","Dicot"
"HECA8","Heterotheca canescens (DC.) Shinners","hoary false goldenaster",,"Heterotheca","Dicot"
"HECI9","Hemerocallis citrina Baroni","citron daylily",,"Hemerocallis","Monocot"
"HECL3","Hesperolinon clevelandii (Greene) Small","Allen Springs dwarf-flax",,"Hesperolinon","Dicot"
"HECO2","Hedyotis cornifolia Kaneh.","dogwood-leaved starviolet",,"Hedyotis","Dicot"
"HECO28","Heterodermia comosa (Eschw.) Follm. & Redon",,,"Heterodermia","Lichen"
"HECO4","Heliotropium confertifolium (Torr.) Torr. ex A. Gray","leafy heliotrope",,"Heliotropium","Dicot"
"HECO5","Heliotropium convolvulaceum (Nutt.) A. Gray","phlox heliotrope",,"Heliotropium","Dicot"
"HECO6","Hemitomes congestum A. Gray","coneplant",,"Hemitomes","Dicot"
"HECR11","Helocarpon crassipes Th. Fr.","helocarpon lichen",,"Helocarpon","Lichen"
"HECYS","Heuchera cylindrica Douglas ex Hook. var. septentrionalis Rosend., Butters & Lakela","roundleaf alumroot",,"Heuchera","Dicot"
"HEDE4","Helianthus debilis Nutt.","cucumberleaf sunflower",,"Helianthus","Dicot"
"HEDI6","Heterodermia diademata (Taylor) D.D. Awasthi","shield lichen",,"Heterodermia","Lichen"
"HEDO","Helianthus ×doronicoides Lam. (pro sp.) [giganteus × mollis]","sunflower",,"Helianthus","Dicot"
"HEDOS","Hedosyne Strother","marsh-elder",,"Hedosyne","Dicot"
"HEELP","Heterospathe elata Scheff. var. palauensis (Becc.) Becc.","demailei",,"Heterospathe","Monocot"
"HEFA","Hemizonia fasciculata (DC.) Torr. & A. Gray","clustered tarweed",,"Hemizonia","Dicot"
"HEFLS","Heuchera flabellifolia Rydb. var. subsecta Rosend., Butters & Lakela","Bridger Mountain alumroot",,"Heuchera","Dicot"
"HEFUF","Heterotheca fulcrata (Greene) Shinners var. fulcrata ","rockyscree false goldenaster",,"Heterotheca","Dicot"
"HEFUS","Heterotheca fulcrata (Greene) Shinners var. senilis (Wooton & Standl.) Semple","rockyscree false goldenaster",,"Heterotheca","Dicot"
"HEGO3","Hesperocyparis goveniana (Gordon) Bartel","Gowen cypress",,"Hesperocyparis","Gymnosperm"
"HEGR4","Helianthus grosseserratus M. Martens","sawtooth sunflower",,"Helianthus","Dicot"
"HEHA2","Heuchera hallii A. Gray","Front Range alumroot",,"Heuchera","Dicot"
"HEHE5","Heliopsis helianthoides (L.) Sweet","smooth oxeye",,"Heliopsis","Dicot"
"HEHES","Heliopsis helianthoides (L.) Sweet var. scabra (Dunal) Fernald","smooth oxeye",,"Heliopsis","Dicot"
"HEIN4","Herniaria incana Lam.","gray rupturewort",,"Herniaria","Dicot"
"HELA2","Helianthus laevigatus Torr. & A. Gray","smooth sunflower",,"Helianthus","Dicot"
"HELA22","Heteropterys laurifolia (L.) A. Juss.","dragon withe",,"Heteropterys","Dicot"
"HELA8","Helianthus laciniatus A. Gray","alkali sunflower",,"Helianthus","Dicot"
"HELE7","Helminthocarpon leprevostii Fée","Leprevost's helminthocarpon lichen",,"Helminthocarpon","Lichen"
"HELI5","Hedyotis littoralis (Hillebr.) Fosberg","seacliff starviolet",,"Hedyotis","Dicot"
"HELOA2","Heliomeris longifolia (B.L. Rob. & Greenm.) Cockerell var. annua (M.E. Jones) Yates","longleaf false goldeneye",,"Heliomeris","Dicot"
"HELY","Hesperomannia lydgatei Forbes","Kauai island-aster",,"Hesperomannia","Dicot"
"HEMI10","Heliotropium microphyllum Sw. ex Wikstr.","littleleaf heliotrope",,"Heliotropium","Dicot"
"HEMIM2","Heuchera micrantha Douglas ex Lindl. var. micrantha ","crevice alumroot",,"Heuchera","Dicot"
"HEMO","Hedeoma mollis Torr.","softhair false pennyroyal",,"Hedeoma","Dicot"
"HEMO14","Heterotheca monarchensis York, Shevock & Semple","Sequoia false goldenaster",,"Heterotheca","Dicot"
"HENA2","Helianthemum nashii Britton","Florida scrub frostweed",,"Helianthemum","Dicot"
"HENIT","Helianthus niveus (Benth.) Brandegee ssp. tephrodes (A. Gray) Heiser","Algodones sunflower",,"Helianthus","Dicot"
"HENO","Heuchera novomexicana Wheelock","New Mexico alumroot",,"Heuchera","Dicot"
"HENUN","Helianthus nuttallii Torr. & A. Gray ssp. nuttallii ","Nuttall's sunflower",,"Helianthus","Dicot"
"HEOD","Hermbstaedtia odorata (Burch.) T. Cooke","guineaflower",,"Hermbstaedtia","Dicot"
"HEPA20","Helodium paludosum (Sull.) Austin","helodium moss",,"Helodium","Moss"
"HEPO","Heliotropium polyphyllum Lehm.","pineland heliotrope",,"Heliotropium","Dicot"
"HEPR8","Heterocladium procurrens (Mitt.) A. Jaeger","heterocladium moss",,"Heterocladium","Moss"
"HEPU14","Heterotheca pumila (Greene) Semple","alpine false goldenaster",,"Heterotheca","Dicot"
"HEQU2","Helianthella quinquenervis (Hook.) A. Gray","fivenerve helianthella",,"Helianthella","Dicot"
"HERA5","Heliotropium racemosum Rose & Standl.","coastal plain heliotrope",,"Heliotropium","Dicot"
"HERE5","Helianthus resinosus Small","resindot sunflower",,"Helianthus","Dicot"
"HERES","Hedeoma reverchonii (A. Gray) A. Gray var. serpyllifolia (Small) Irving","Reverchon's false pennyroyal",,"Hedeoma","Dicot"
"HERO5","Heteranthera rotundifolia (Kunth) Griseb.","roundleaf mudplantain",,"Heteranthera","Monocot"
"HESA","Heimia salicifolia (Kunth) Link","shrubby yellowcrest",,"Heimia","Dicot"
"HESA13","Hesperodoria salicina (S.F. Blake) G.L. Nesom","willow glowweed",,"Hesperodoria","Dicot"
"HESA2","Helianthus salicifolius A. Dietr.","willowleaf sunflower",,"Helianthus","Dicot"
"HESCS4","Hedyotis schlechtendahliana Steud. ssp. schlechtendahliana ","kopa",,"Hedyotis","Dicot"
"HESE6","Herzogiella seligeri (Brid.) Z. Iwats.","Seliger's herzogiella moss",,"Herzogiella","Moss"
"HESEC","Heterotheca sessiliflora (Nutt.) Shinners ssp. echioides (Benth.) Semple var. camphorata (Eastw.) Semple","sessileflower false goldenaster",,"Heterotheca","Dicot"
"HESEE3","Heterotheca sessiliflora (Nutt.) Shinners ssp. echioides (Benth.) Semple var. echioides ","sessileflower false goldenaster",,"Heterotheca","Dicot"
"HESP8","Heterodermia speciosa (Wulfen) Trevis.","shield lichen",,"Heterodermia","Lichen"
"HESPE6","Hesperocnide Torr.","stingingnettle",,"Hesperocnide","Dicot"
"HEST2","Hedyotis st.-johnii B.C. Stone & M.A. Lane","Napali Beach starviolet",,"Hedyotis","Dicot"
"HESTS","Heterotheca stenophylla (A. Gray) Shinners var. stenophylla ","stiffleaf false goldenaster",,"Heterotheca","Dicot"
"HESU3","Heterotheca subaxillaris (Lam.) Britton & Rusby","camphorweed",,"Heterotheca","Dicot"
"HETE21","Hedyotis terminalis (Hook. & Arn.) W.L. Wagner & D.R. Herbst","variable starviolet",,"Hedyotis","Dicot"
"HETO2","Hedeoma todsenii Irving","Todsen's false pennyroyal",,"Hedeoma","Dicot"
"HETU2","Herzogiella turfacea (Lindb.) Z. Iwats.","herzodiella moss",,"Herzogiella","Moss"
"HEVE","Helenium vernale Walter","savannah sneezeweed",,"Helenium","Dicot"
"HEVI11","Hedysarum vicioides Turcz.",,,"Hedysarum","Dicot"
"HEVI4","Heterotheca villosa (Pursh) Shinners","hairy false goldenaster",,"Heterotheca","Dicot"
"HEVIF","Heterotheca villosa (Pursh) Shinners var. foliosa (Nutt.) V.L. Harms","hairy false goldenaster",,"Heterotheca","Dicot"
"HEVIP","Heterotheca villosa (Pursh) Shinners var. pedunculata (Greene) V.L. Harms ex Semple","hairy false goldenaster",,"Heterotheca","Dicot"
"HIAL2","Hieracium albiflorum Hook.","white hawkweed",,"Hieracium","Dicot"
"HIBIS","Hibiscadelphus Rock","hibiscadelphus",,"Hibiscadelphus","Dicot"
"HICA6","Hibiscus calyphyllus Cav.","lemonyellow rosemallow",,"Hibiscus","Dicot"
"HICAC","Hieracium canadense Michx. var. canadense ","Canadian hawkweed",,"Hieracium","Dicot"
"HIFE","Hieracium fendleri Sch. Bip.","yellow hawkweed",,"Hieracium","Dicot"
"HIFEF","Hieracium fendleri Sch. Bip. var. fendleri ","yellow hawkweed",,"Hieracium","Dicot"
"HIFL3","Hieracium ×floribundum Wimm. & Grab. (pro sp.) [caespitosum × lactucella]","hawkweed",,"Hieracium","Dicot"
"HIGR4","Hibiscus grandiflorus Michx.","swamp rosemallow",,"Hibiscus","Dicot"
"HIGR5","Hieracium greenii Porter & Britton","Maryland hawkweed",,"Hieracium","Dicot"
"HIGRG","Hieracium gracile Hook. var. gracile ","slender hawkweed",,"Hieracium","Dicot"
"HIIN3","Hirschfeldia incana (L.) Lagr.-Foss.","shortpod mustard",,"Hirschfeldia","Dicot"
"HILA4","Hieracium laevigatum Willd.","smooth hawkweed",,"Hieracium","Dicot"
"HIMO","Hibiscus moscheutos L.","crimsoneyed rosemallow",,"Hibiscus","Dicot"
"HIOD","Hierochloe odorata (L.) P. Beauv.","sweetgrass",,"Hierochloe","Monocot"
"HIPPO3","Hippobroma G. Don","hippobroma",,"Hippobroma","Dicot"
"HIPPO4","Hippophae L.","seaberry",,"Hippophae","Dicot"
"HIPU","Hippeastrum puniceum (Lam.) Kuntze","Barbados lily",,"Hippeastrum","Monocot"
"HIRAE2","Hiraea Jacq.",,,"Hiraea","Dicot"
"HISC3","Hibiscus schizopetalus (Dyer) Hook. f.","fringed rosemallow",,"Hibiscus","Dicot"
"HISTI","Histiopteris (J. Agardh) J. Sm.","histiopteris",,"Histiopteris","Fern"
"HITI","Hibiscus tiliaceus L.","sea hibiscus",,"Hibiscus","Dicot"
"HIUM","Hieracium umbellatum L.","narrowleaf hawkweed",,"Hieracium","Dicot"
"HIVI","Hibiscus vitifolius L.","tropical rose mallow",,"Hibiscus","Dicot"
"HIVI3","Hippeastrum vittatum (L'Hér.) Herb. [excluded]",,,"Hippeastrum","Monocot"
"HOAD","Homomallium adnatum (Hedw.) Broth.","homomallium moss",,"Homomallium","Moss"
"HOAE2","Homalothecium aeneum (Mitt.) E. Lawton","bright copper homalothecium moss",,"Homalothecium","Moss"
"HOAR","Hordeum arizonicum Covas","Arizona barley",,"Hordeum","Monocot"
"HOBO5","Hordeum bogdanii Wilensky",,,"Hordeum","Monocot"
"HOCO7","Homalomena cordata Schott","heart-shaped homalomena",,"Homalomena","Monocot"
"HODE2","Hordeum depressum (Scribn. & J.G. Sm.) Rydb.","dwarf barley",,"Hordeum","Monocot"
"HOFU","Horkelia fusca Lindl.","pinewoods horkelia",,"Horkelia","Dicot"
"HOGL3","Homolepis glutinosa (Sw.) F. Zuloaga & Soderstr.","sticky panicgrass",,"Homolepis","Monocot"
"HOLA2","Hollisteria lanata S. Watson","false spikeflower",,"Hollisteria","Dicot"
"HOLA3","Hosta lancifolia (Thunb.) Engl.","narrowleaf plantain lily",,"Hosta","Monocot"
"HOMAL2","Homalocladium (F. Muell.) L.H. Bailey","homalocladium",,"Homalocladium","Dicot"
"HOMOS","Homostegia Fuckel",,,"Homostegia","Lichen"
"HOMUM","Hordeum murinum L. ssp. murinum ","wall barley",,"Hordeum","Monocot"
"HOOB","Holocarpha obconica (J.C. Clausen & D.D. Keck) D.D. Keck","San Joaquin tarweed",,"Holocarpha","Dicot"
"HOOX","Hoffmannseggia oxycarpa Benth. ex A. Gray","sharppod rushpea",,"Hoffmannseggia","Dicot"
"HOPU8","Horkeliella purpurascens (S. Watson) Rydb.","purple false horkelia",,"Horkeliella","Dicot"
"HOST2","Holacantha stewartii C.H. Mull.","Stewart's crucifixionthorn",,"Holacantha","Dicot"
"HOVI6","Holographis virgata (Harv. ex Benth. & Hook. f.) Daniel [excluded]",,,"Holographis","Dicot"
"HUDI","Huperzia dichotoma (Jacq.) Trevis.","hanging clubmoss",,"Huperzia","Lycopod"
"HULUN","Humulus lupulus L. var. neomexicanus A. Nelson & Cockerell","common hop",,"Humulus","Dicot"
"HUPO2","Huperzia porophila (Lloyd & Underw.) Holub","rock clubmoss",,"Huperzia","Lycopod"
"HUSQ","Huperzia squarrosa (G. Forst.) Trevis.","rock tassel fern",,"Huperzia","Lycopod"
"HUWI","Huperzia wilsonii (Underw. & Lloyd) B. Pllg.","Wilson's clubmoss",,"Huperzia","Lycopod"
"HYACI2","Hyacinthus L.","hyacinth",,"Hyacinthus","Monocot"
"HYAMF","Hymenoxys ambigens (S.F. Blake) Bierner var. floribunda (A. Gray) W.L. Wagner","Apache Passe rubberweed",,"Hymenoxys","Dicot"
"HYAR8","Hymenelia arctica (Lynge) Lutzoni",,,"Hymenelia","Lichen"
"HYAS","Hymenophyllum asplenioides (Sw.) Sw.","Caribbean filmy fern",,"Hymenophyllum","Fern"
"HYAX","Hymenophyllum axillare Sw.","axillary filmy fern",,"Hymenophyllum","Fern"
"HYCAT","Hydrophyllum capitatum Douglas ex Benth. var. thompsonii (M. Peck) Constance","Thompson's waterleaf",,"Hydrophyllum","Dicot"
"HYCO9","Hygrophila costata Nees","yerba de hicotea",,"Hygrophila","Dicot"
"HYCR3","Hypericum crux-andreae (L.) Crantz","St. Peterswort",,"Hypericum","Dicot"
"HYDI","Hypericum diosmoides Griseb.","Puerto Rico St. Johnswort",,"Hypericum","Dicot"
"HYDI3","Hypnum dieckii Renauld & Cardot","Dieck's hypnum moss",,"Hypnum","Moss"
"HYDO","Hypericum dolabriforme Vent.","straggling St. Johnswort",,"Hypericum","Dicot"
"HYDO2","Hyperbaena domingensis (DC.) Benth.","forest snakevine",,"Hyperbaena","Dicot"
"HYDRA2","Hydrastis L.","hydrastis",,"Hydrastis","Dicot"
"HYDRO9","Hydrothyria J.L. Russell","hydrothyria lichen",,"Hydrothyria","Lichen"
"HYEM","Hyptis emoryi Torr.","desert lavender",,"Hyptis","Dicot"
"HYEX2","Hymenocallis expansa (Herb.) Herb.","West Indian spiderlily",,"Hymenocallis","Monocot"
"HYFIC","Hymenopappus filifolius Hook. var. cinereus (Rydb.) I.M. Johnst.","fineleaf hymenopappus",,"Hymenopappus","Dicot"
"HYFIT","Hymenopappus filifolius Hook. var. tomentosus (Rydb.) B.L. Turner","finehair hymenopappus",,"Hymenopappus","Dicot"
"HYGO","Hypotrachyna gondylophora (Hale) Hale","hypotrachyna lichen",,"Hypotrachyna","Lichen"
"HYGR6","Hypericum grandifolium Choisy",,,"Hypericum","Dicot"
"HYHI4","Hydrocotyle hirsuta Sw.","yerba de clavo",,"Hydrocotyle","Dicot"
"HYHYM","Hypericum hypericoides (L.) Crantz ssp. multicaule (Michx. ex Willd.) N. Robson","St. Andrew's cross",,"Hypericum","Dicot"
"HYIN5","Hyophila involuta (Hook.) A. Jaeger","hyophila moss",,"Hyophila","Moss"
"HYJU2","Hypnum jutlandicum Holmen & Warncke","hypnum moss",,"Hypnum","Moss"
"HYLA8","Hyperbaena laurifolia (Poir.) Urb.","limestone snakevine",,"Hyperbaena","Dicot"
"HYLI70","Hypnum lindbergii Mitt.","Lindberg's hypnum moss",,"Hypnum","Moss"
"HYLU4","Hypogymnia lugubris (Pers.) Krog","tube lichen",,"Hypogymnia","Lichen"
"HYLU5","Hygrohypnum luridum (Hedw.) Jenn.","hygrohypnum moss",,"Hygrohypnum","Moss"
"HYMA5","Hypnum mammillatum (Brid.) Loeske","hypnum moss",,"Hypnum","Moss"
"HYMEN13","Hymenosporum R. Br. ex F. Muell.",,,"Hymenosporum","Dicot"
"HYMO8","Hygrohypnum molle (Hedw.) Loeske","hygrohypnum moss",,"Hygrohypnum","Moss"
"HYMU","Hypericum mutilum L.","dwarf St. Johnswort",,"Hypericum","Dicot"
"HYNE","Hymenopappus newberryi (A. Gray) I.M. Johnst.","Newberry's hymenopappus",,"Hymenopappus","Dicot"
"HYPAP","Hypnum pallescens (Hedw.) P. Beauv. var. pallescens ","hypnum moss",,"Hypnum","Moss"
"HYPEL","Hypelate P. Br.","hypelate",,"Hypelate","Dicot"
"HYPER2","Hyperbaena Miers ex Benth.","hyperbaena",,"Hyperbaena","Dicot"
"HYPU10","Hymenocallis puntagordensis Traub","Punta Gorda spiderlily",,"Hymenocallis","Monocot"
"HYRE71","Hymenostylium recurvirostre (Hedw.) Dix.","hymenostylium moss",,"Hymenostylium","Moss"
"HYRIF","Hymenoxys richardsonii (Hook.) Cockerell var. floribunda (A. Gray) K.F. Parker","Colorado rubberweed",,"Hymenoxys","Dicot"
"HYRU3","Hypogymnia rugosa (G. Merr.) L. Pike","tube lichen",,"Hypogymnia","Lichen"
"HYSAP","Hymenoclea salsola Torr. & A. Gray var. pentalepis (Rydb.) L.D. Benson","burrobrush",,"Hymenoclea","Dicot"
"HYSI2","Hymenophyllum sieberi (C. Presl) Bosch","Sieber's filmy fern",,"Hymenophyllum","Fern"
"HYSP70","Hylocomium splendens (Hedw.) Schimp.","splendid feather moss",,"Hylocomium","Moss"
"HYSU2","Hypericum suffruticosum P. Adams & N. Robson","pineland St. Johnswort",,"Hypericum","Dicot"
"HYTE10","Hylotelephium telephium (L.) H. Ohba","witch's moneybags",,"Hylotelephium","Dicot"
"HYTE3","Hypolepis tenerrima Maxon","royal beadfern",,"Hypolepis","Fern"
"HYTES","Hygroamblystegium tenax (Hedw.) Jenn. var. spinifolium (Schimp.) Jenn.","hygroamblystegium moss",,"Hygroamblystegium","Moss"
"HYTR","Hypelate trifoliata Sw.","inkwood",,"Hypelate","Dicot"
"HYTR4","Hymenocallis tridentata Small","Florida spiderlily",,"Hymenocallis","Monocot"
"HYTU60","Hypogymnia tubulosa (Schaerer) Hav.","tube lichen",,"Hypogymnia","Lichen"
"HYUM2","Hylocomiastrum umbratum (Hedw.) Fleisch.","hylocomiastrum moss",,"Hylocomiastrum","Moss"
"HYUN2","Hymenophyllum undulatum (Sw.) Sw.","wavy filmy fern",,"Hymenophyllum","Fern"
"HYVI3","Hypogynium virgatum (Desv. ex Ham.) Dandy","West Indian bluestem",,"Hypogynium","Monocot"
"HYVI6","Hypericum virgatum Lam.","sharpleaf St. Johnswort",,"Hypericum","Dicot"
"HYVI60","Hypogymnia vittata (Ach.) Parrique","Vitt tube lichen",,"Hypogymnia","Lichen"
"ILCO2","Ilex collina Alexander","longstalk holly",,"Ilex","Dicot"
"ILCO3","Ilex cookii Britton & P. Wilson","te",,"Ilex","Dicot"
"ILCR2","Ilex crenata Thunb.","Japanese holly",,"Ilex","Dicot"
"ILDE","Ilex decidua Walter","possumhaw",,"Ilex","Dicot"
"ILLA","Ilex laevigata (Pursh) A. Gray","smooth winterberry",,"Ilex","Dicot"
"ILLEC","Illecebrum L.","coral necklace",,"Illecebrum","Dicot"
"ILRID","Iliamna rivularis (Douglas ex Hook.) Greene var. diversa (A. Nelson) Wiggins","streambank wild hollyhock",,"Iliamna","Dicot"
"ILUR","Ilex urbaniana Loes.","Urban's holly",,"Ilex","Dicot"
"ILVE","Ilex verticillata (L.) A. Gray","common winterberry",,"Ilex","Dicot"
"IMBA","Impatiens balsamina L.","spotted snapweed",,"Impatiens","Dicot"
"IMPAT","Impatiens L.","touch-me-not",,"Impatiens","Dicot"
"INMI","Indigofera miniata Ortega","coastal indigo",,"Indigofera","Dicot"
"INOX","Indigofera oxycarpa Desv.","Asian indigo",,"Indigofera","Dicot"
"INZO","Indigofera zollingeriana Miq.","Zollinger's indigo",,"Indigofera","Dicot"
"IPAGA3","Ipomopsis aggregata (Pursh) V.E. Grant ssp. aggregata ","scarlet gilia",,"Ipomopsis","Dicot"
"IPAGF","Ipomopsis aggregata (Pursh) V.E. Grant ssp. formosissima (Greene) Wherry","scarlet gilia",,"Ipomopsis","Dicot"
"IPAR2","Ipomopsis arizonica (Greene) Wherry","Arizona ipomopsis",,"Ipomopsis","Dicot"
"IPBA2","Ipomoea batatas (L.) Lam.","sweetpotato",,"Ipomoea","Dicot"
"IPCA5","Ipomoea carnea Jacq.","gloria de la manana",,"Ipomoea","Dicot"
"IPCOC3","Ipomopsis congesta (Hook.) V.E. Grant ssp. congesta ","ballhead ipomopsis",,"Ipomopsis","Dicot"
"IPCOF","Ipomopsis congesta (Hook.) V.E. Grant ssp. frutescens (Rydb.) Day","ballhead ipomopsis",,"Ipomopsis","Dicot"
"IPCON","Ipomopsis congesta (Hook.) V.E. Grant ssp. nevadensis (Tidestr.) Kartesz & Gandhi","ballhead ipomopsis",,"Ipomopsis","Dicot"
"IPCOT","Ipomoea cordatotriloba Dennst. var. torreyana (A. Gray) D. Austin","Torrey's tievine",,"Ipomoea","Dicot"
"IPLA2","Ipomopsis laxiflora (J.M. Coult.) V.E. Grant","iron ipomopsis",,"Ipomopsis","Dicot"
"IPLOA","Ipomopsis longiflora (Torr.) V.E. Grant ssp. australis Fletcher & W.L. Wagner","whiteflower ipomopsis",,"Ipomopsis","Dicot"
"IPME","Ipomoea meyeri (Spreng.) G. Don","Meyer's morning-glory",,"Ipomoea","Dicot"
"IPMI","Ipomoea microdactyla Griseb.","calcareous morning-glory",,"Ipomoea","Dicot"
"IPNI","Ipomoea nil (L.) Roth","whiteedge morning-glory",,"Ipomoea","Dicot"
"IPOB","Ipomoea obscura (L.) Ker Gawl.","obscure morning-glory",,"Ipomoea","Dicot"
"IPPEP2","Ipomoea pes-caprae (L.) R. Br. ssp. pes-caprae (L.) R. Br. [excluded]","bayhops",,"Ipomoea","Dicot"
"IPPU3","Ipomoea pubescens Lam.","silky morning-glory",,"Ipomoea","Dicot"
"IPRO","Ipomopsis roseata (Rydb.) V.E. Grant","rosy ipomopsis",,"Ipomopsis","Dicot"
"IPSPS","Ipomopsis spicata (Nutt.) V.E. Grant ssp. spicata ","spiked ipomopsis",,"Ipomopsis","Dicot"
"IPTR3","Ipomoea tricolor Cav.","grannyvine",,"Ipomoea","Dicot"
"IRDO","Iris douglasiana Herb.","Douglas iris",,"Iris","Monocot"
"IRGI","Iris giganticaerulea Small","giant blue iris",,"Iris","Monocot"
"IRHEH","Iris hexagona Walter var. hexagona ","Dixie iris",,"Iris","Monocot"
"IRLA","Iris lacustris Nutt.","dwarf lake iris",,"Iris","Monocot"
"IRPR","Iris prismatica Pursh ex Ker Gawl.","slender blue iris",,"Iris","Monocot"
"IRRH","Iresine rhizomatosa Standl.","Juda's bush",,"Iresine","Dicot"
"IRSPG","Iris spuria L. ssp. guldenstaedtiana (Lepech.) Soldano",,,"Iris","Monocot"
"IRTI","Iris tingitana Boiss. & Reut. [excluded]","Morocco iris",,"Iris","Monocot"
"IRVEV","Iris verna L. var. verna ","dwarf violet iris",,"Iris","Monocot"
"IRVIS","Iris virginica L. var. shrevei (Small) E.S. Anderson","Shreve's iris",,"Iris","Monocot"
"ISACH","Isachne R. Br.","bloodgrass",,"Isachne","Monocot"
"ISAL","Isopterygiopsis alpicola (Lindb. ex Lindb. & Arnell) Hedenäs","isopterygiopsis moss",,"Isopterygiopsis","Moss"
"ISBU2","Isopogon buxifolius R. Br.",,,"Isopogon","Dicot"
"ISFL4","Isolepis fluitans (L.) R. Br.",,,"Isolepis","Monocot"
"ISMEM","Isocoma menziesii (Hook. & Arn.) G.L. Nesom var. menziesii ","Menzies' goldenbush",,"Isocoma","Dicot"
"ISMY2","Isothecium myosuroides Brid.","isothecium moss",,"Isothecium","Moss"
"ISOC","Isoetes occidentalis L.F. Hend.","western quillwort",,"Isoetes","Quillwort"
"ISOP","Isocarpha oppositifolia (L.) Cass.","Rio Grande pearlhead",,"Isocarpha","Dicot"
"ISOPT3","Isopterygium Mitt.","isopterygium moss",,"Isopterygium","Moss"
"ISOTH","Isothecium Brid.","isothecium moss",,"Isothecium","Moss"
"ISPL","Isocoma pluriflora (Torr. & A. Gray) Greene","southern goldenbush",,"Isocoma","Dicot"
"ISRIR","Isoetes riparia Engelm. ex A. Braun var. riparia ","shore quillwort",,"Isoetes","Quillwort"
"ISSA","Isoetes saccharata Engelm.","sugar quillwort",,"Isoetes","Quillwort"
"ISTE3","Isopterygium tenerum (Sw.) Mitt.","isopterygium moss",,"Isopterygium","Moss"
"ISVE5","Isocoma veneta (Kunth) Greene [excluded]",,,"Isocoma","Dicot"
"IVAX","Iva axillaris Pursh","povertyweed",,"Iva","Dicot"
"IVCA","Ivesia callida (H.M. Hall) Rydb.","Tahquitz mousetail",,"Ivesia","Dicot"
"IVLO","Ivesia longibracteata Ertter","longbract mousetail",,"Ivesia","Dicot"
"IVLYS","Ivesia lycopodioides A. Gray ssp. scandularis (Rydb.) D.D. Keck","clubmoss mousetail",,"Ivesia","Dicot"
"IVPY","Ivesia pygmaea A. Gray","dwarf mousetail",,"Ivesia","Dicot"
"IVSHO","Ivesia shockleyi S. Watson var. ostleri Ertter","Ostler's mousetail",,"Ivesia","Dicot"
"JAAMM","Jamesia americana Torr. & A. Gray var. macrocalyx (Small) Engl.","fivepetal cliffbush",,"Jamesia","Dicot"
"JAAMR","Jamesia americana Torr. & A. Gray var. rosea J.A. Purpus ex C.K. Schneid.","fivepetal cliffbush",,"Jamesia","Dicot"
"JACA7","Jacquemontia cayensis Britton","sandyplain clustervine",,"Jacquemontia","Dicot"
"JAEGE","Jaegerina Müll. Hal.","jaegerina moss",,"Jaegerina","Moss"
"JAGOE","Jatropha gossypiifolia L. var. elegans (Pohl) Müll. Arg.","bellyache bush",,"Jatropha","Dicot"
"JAMI","Jacaranda mimosifolia D. Don","black poui",,"Jacaranda","Dicot"
"JARA","Jaffueliobryum raui (Austin) Thér.","jaffueliobryum moss",,"Jaffueliobryum","Moss"
"JASA","Jasminum sambac (L.) Aiton","Arabian jasmine",,"Jasminum","Dicot"
