scientific_name,source
Agrotis hephaestaea,GBIF
Agrotis kuamauna,GBIF
Agrotis longicornis,GBIF
Agrotis melanoneura,GBIF
Agrotis obliqua,GBIF
Agrotis orthogonia,GBIF
Agrotis rileyana,GBIF
Agrotis robustior,GBIF
Agrotis ruta,GBIF
Agrotis stigmosa,GBIF
Agrotis striata,GBIF
Agrotis subterranea,GBIF
Agrotis vancouverensis,GBIF
Agrotis volubilis,GBIF
Agrotis xiphias,GBIF
Agrotisia evelinae,GBIF
Aguna asander,GBIF
Aguna claxon,GBIF
Aguna metophis,GBIF
Agylla septentrionalis,GBIF
Ahmosia aspasiana,GBIF
Ahmosia galbinea,GBIF
Aimophila ruficeps,eBird
Airamia albiocula,GBIF
Aix galericulata,eBird
Alarodia slossoniae,GBIF
Alastria chico,GBIF
Alatuncusia bergii,GBIF
Alauda arvensis,eBird
Alberada franclemonti,GBIF
Alberada parabates,GBIF
Albulina orbitulus,GBIF
Albuna beutenmuelleri,GBIF
Albuna pyramidalis,GBIF
Alca torda,eBird
Alcathoe autumnalis,GBIF
Alcathoe pepsioides,GBIF
Alcathoe verrugo,GBIF
Alectoris chukar,eBird
Alectoris rufa,eBird
Aleptina aleptivoides,GBIF
Aleptina clinopetes,GBIF
Aleptina inca,GBIF
Aleptina junctimacula,GBIF
Aleptina semiatra,GBIF
Aleptinoides ochrea,GBIF
Alexicles aspersa,GBIF
Alle alle,eBird
Allerastria albiciliatus,GBIF
Allerastria annae,GBIF
Almodes terraria,GBIF
Alopochen aegyptiaca,eBird
Alpheias oculiferalis,GBIF
Alpheias querula,GBIF
Alpheias transferens,GBIF
Alpheias vicarilis,GBIF
Alpheioides parvulalis,GBIF
Alucita adriendenisi,GBIF
Alucita hexadactyla,GBIF
Alucita kazachstanica,GBIF
Alucita lalannei,GBIF
Alucita montana,GBIF
Alucita objurgatella,GBIF
Alypia disparata,GBIF
Alypia langtonii,GBIF
Alypia maccullochii,GBIF
Alypia mariposa,GBIF
Alypia ridingsii,GBIF
Alypia wittfeldii,GBIF
Alypiodes bimaculata,GBIF
Alypiodes geronimo,GBIF
Amadina fasciata,eBird
Amandava amandava,eBird
Amandava subflava,eBird
Amazilia rutila,eBird
Amazilia yucatanensis,eBird
Amazona aestiva,eBird
Amazona albifrons,eBird
Amazona amazonica,eBird
Amazona auropalliata,eBird
Amazona autumnalis,eBird
Amazona barbadensis,eBird
Amazona farinosa,eBird
Amazona finschi,eBird
Amazona ochrocephala,eBird
Amazona oratrix,eBird
Amazona pretrei,eBird
Amazona ventralis,eBird
Amazona viridigenalis,eBird
Amazona xantholora,eBird
Ambesa laetella,GBIF
Ambesa lallatalis,GBIF
Ambesa walsinghami,GBIF
Amblyscirtes arizonae,GBIF
Ametris nitocris,GBIF
Amiana niama,GBIF
Ammodramus savannarum,eBird
Ammospiza caudacuta,eBird
Ammospiza leconteii,eBird
Ammospiza maritima,eBird
Ammospiza nelsoni,eBird
