scientific_name,state_code,source,observation_count
Ardea alba,AL,eBird,NA
Ardea herodias,AL,eBird,NA
Pelecanus erythrorhynchos,AL,eBird,NA
Pelecanus occidentalis,AL,eBird,NA
Coragyps atratus,AL,eBird,NA
Cathartes aura,AL,eBird,NA
Pandion haliaetus,AL,eBird,NA
Elanus leucurus,AL,eBird,NA
Elanoides forficatus,AL,eBird,NA
Aquila chrysaetos,AL,eBird,NA
Accipiter striatus,AL,eBird,NA
Astur cooperii,AL,eBird,NA
Astur atricapillus,AL,eBird,NA
Circus hudsonius,AL,eBird,NA
Haliaeetus leucocephalus,AL,eBird,NA
Ictinia mississippiensis,AL,eBird,NA
Parabuteo unicinctus,AL,eBird,NA
Geranoaetus albicaudatus,AL,eBird,NA
Buteo platypterus,AL,eBird,NA
Buteo lineatus,AL,eBird,NA
Buteo brachyurus,AL,eBird,NA
Buteo swainsoni,AL,eBird,NA
Buteo jamaicensis,AL,eBird,NA
Buteo lagopus,AL,eBird,NA
Buteo regalis,AL,eBird,NA
Tyto furcata,AL,eBird,NA
Psiloscops flammeolus,AL,eBird,NA
Megascops asio,AL,eBird,NA
Bubo scandiacus,AL,eBird,NA
Bubo virginianus,AL,eBird,NA
Athene cunicularia,AL,eBird,NA
Strix varia,AL,eBird,NA
Asio otus,AL,eBird,NA
Asio flammeus,AL,eBird,NA
Aegolius acadicus,AL,eBird,NA
Megaceryle alcyon,AL,eBird,NA
Sphyrapicus varius,AL,eBird,NA
Melanerpes erythrocephalus,AL,eBird,NA
Melanerpes carolinus,AL,eBird,NA
Dryobates pubescens,AL,eBird,NA
Leuconotopicus borealis,AL,eBird,NA
Leuconotopicus villosus,AL,eBird,NA
Campephilus principalis,AL,eBird,NA
Dryocopus pileatus,AL,eBird,NA
Colaptes auratus,AL,eBird,NA
Caracara plancus,AL,eBird,NA
Falco sparverius,AL,eBird,NA
Falco columbarius,AL,eBird,NA
Falco peregrinus,AL,eBird,NA
Falco mexicanus,AL,eBird,NA
Nymphicus hollandicus,AL,eBird,NA
Psittacula krameri,AL,eBird,NA
Melopsittacus undulatus,AL,eBird,NA
Agapornis roseicollis,AL,eBird,NA
Myiopsitta monachus,AL,eBird,NA
Conuropsis carolinensis,AL,eBird,NA
Contopus cooperi,AL,eBird,NA
Contopus sordidulus,AL,eBird,NA
Contopus virens,AL,eBird,NA
Empidonax flaviventris,AL,eBird,NA
Empidonax virescens,AL,eBird,NA
Empidonax alnorum,AL,eBird,NA
Empidonax traillii,AL,eBird,NA
Empidonax minimus,AL,eBird,NA
Empidonax hammondii,AL,eBird,NA
Empidonax oberholseri,AL,eBird,NA
Empidonax difficilis,AL,eBird,NA
Sayornis phoebe,AL,eBird,NA
Sayornis saya,AL,eBird,NA
Pyrocephalus rubinus,AL,eBird,NA
Myiarchus cinerascens,AL,eBird,NA
Myiarchus crinitus,AL,eBird,NA
Myiarchus tyrannulus,AL,eBird,NA
Myiarchus sagrae,AL,eBird,NA
Pitangus sulphuratus,AL,eBird,NA
Myiodynastes luteiventris,AL,eBird,NA
Tyrannus couchii,AL,eBird,NA
Tyrannus vociferans,AL,eBird,NA
Tyrannus verticalis,AL,eBird,NA
Tyrannus tyrannus,AL,eBird,NA
Tyrannus dominicensis,AL,eBird,NA
Tyrannus forficatus,AL,eBird,NA
Tyrannus savana,AL,eBird,NA
Vireo griseus,AL,eBird,NA
Vireo bellii,AL,eBird,NA
Vireo flavifrons,AL,eBird,NA
Vireo solitarius,AL,eBird,NA
Vireo plumbeus,AL,eBird,NA
Vireo philadelphicus,AL,eBird,NA
Vireo gilvus,AL,eBird,NA
Vireo olivaceus,AL,eBird,NA
Vireo flavoviridis,AL,eBird,NA
Vireo altiloquus,AL,eBird,NA
Lanius ludovicianus,AL,eBird,NA
Cyanocitta cristata,AL,eBird,NA
Garrulus glandarius,AL,eBird,NA
Nucifraga columbiana,AL,eBird,NA
Corvus brachyrhynchos,AL,eBird,NA
Corvus ossifragus,AL,eBird,NA
Corvus corax,AL,eBird,NA
Poecile carolinensis,AL,eBird,NA
Baeolophus bicolor,AL,eBird,NA
Eremophila alpestris,AL,eBird,NA
Riparia riparia,AL,eBird,NA
Tachycineta bicolor,AL,eBird,NA
Progne subis,AL,eBird,NA
Stelgidopteryx serripennis,AL,eBird,NA
Hirundo rustica,AL,eBird,NA
Petrochelidon pyrrhonota,AL,eBird,NA
Petrochelidon fulva,AL,eBird,NA
Corthylio calendula,AL,eBird,NA
Regulus satrapa,AL,eBird,NA
Sitta carolinensis,AL,eBird,NA
Sitta pusilla,AL,eBird,NA
Sitta canadensis,AL,eBird,NA
Certhia americana,AL,eBird,NA
Polioptila caerulea,AL,eBird,NA
Salpinctes obsoletus,AL,eBird,NA
Troglodytes aedon,AL,eBird,NA
Troglodytes hiemalis,AL,eBird,NA
Cistothorus stellaris,AL,eBird,NA
Cistothorus palustris,AL,eBird,NA
