scientific_name,state_code,native_status
Chromolaena ivifolia,AL,Native
Chrysogonum virginianum,AL,Native
Chrysoma pauciflosculosa,AL,Native
Chrysopsis godfreyi,AL,Native
Chrysopsis gossypina,AL,Native
Chrysopsis mariana,AL,Native
Cirsium altissimum,AL,Native
Cirsium carolinianum,AL,Native
Cirsium discolor,AL,Native
Cirsium horridulum,AL,Native
Cirsium lecontei,AL,Native
Cirsium muticum,AL,Native
Cirsium nuttallii,AL,Native
Conoclinium coelestinum,AL,Native
Coreopsis auriculata,AL,Native
Coreopsis basalis,AL,Native
Coreopsis gladiata,AL,Native
Coreopsis grandiflora,AL,Native
Coreopsis lanceolata,AL,Native
Coreopsis leavenworthii,AL,Native
Coreopsis linifolia,AL,Native
Coreopsis major,AL,Native
Coreopsis nudata,AL,Native
Coreopsis pubescens,AL,Native
Coreopsis pulchra,AL,Native
Coreopsis tinctoria,AL,Native
Coreopsis tripteris,AL,Native
Coreopsis verticillata,AL,Native
Croptilon divaricatum,AL,Native
Diaperia prolifera,AL,Native
Diaperia verna,AL,Native
Doellingeria infirma,AL,Native
Doellingeria sericocarpoides,AL,Native
Doellingeria umbellata,AL,Native
Dracopis amplexicaulis,AL,Native
Echinacea pallida,AL,Native
Echinacea purpurea,AL,Native
Echinacea simulata,AL,Native
Eclipta prostrata,AL,Native
Elephantopus carolinianus,AL,Native
Elephantopus elatus,AL,Native
Elephantopus nudatus,AL,Native
Elephantopus tomentosus,AL,Native
Erigeron annuus,AL,Native
Erigeron bonariensis,AL,Native
Erigeron divaricatus,AL,Native
Erigeron philadelphicus,AL,Native
Erigeron pulchellus,AL,Native
Erigeron strigosus,AL,Native
Erigeron tenuis,AL,Native
Erigeron vernus,AL,Native
Eupatorium album,AL,Native
Eupatorium altissimum,AL,Native
Eupatorium anomalum,AL,Native
Eupatorium capillifolium,AL,Native
Eupatorium compositifolium,AL,Native
Eupatorium ×cordigerum,AL,Native
Eupatorium hyssopifolium,AL,Native
Eupatorium lancifolium,AL,Native
Eupatorium leptophyllum,AL,Native
Eupatorium leucolepis,AL,Native
Eupatorium linearifolium,AL,Native
Eupatorium mohrii,AL,Native
Eupatorium perfoliatum,AL,Native
Eupatorium petaloideum,AL,Native
Eupatorium pilosum,AL,Native
Eupatorium ×pinnatifidum,AL,Native
Eupatorium rotundifolium,AL,Native
Eupatorium semiserratum,AL,Native
Eupatorium serotinum,AL,Native
Eupatorium sessilifolium,AL,Native
Eupatorium ×truncatum,AL,Native
Eupatorium vaseyi,AL,Native
Eurybia divaricata,AL,Native
Eurybia eryngiifolia,AL,Native
Eurybia hemispherica,AL,Native
Eurybia jonesiae,AL,Native
Eurybia spectabilis,AL,Native
Eurybia surculosa,AL,Native
Euthamia caroliniana,AL,Native
Euthamia graminifolia,AL,Native
Euthamia leptocephala,AL,Native
Eutrochium fistulosum,AL,Native
Eutrochium purpureum,AL,Native
Flaveria bidentis,AL,Native
Fleischmannia incarnata,AL,Native
Gaillardia aestivalis,AL,Native
Gaillardia pulchella,AL,Native
Gamochaeta chionesthes,AL,Native
Gamochaeta coarctata,AL,Native
Gamochaeta purpurea,AL,Native
Grindelia lanceolata,AL,Native
Helenium amarum,AL,Native
Helenium autumnale,AL,Native
Helenium brevifolium,AL,Native
Helenium flexuosum,AL,Native
Helenium pinnatifidum,AL,Native
Helenium quadridentatum,AL,Native
Helenium vernale,AL,Native
Helianthus angustifolius,AL,Native
Helianthus annuus,AL,Native
Helianthus atrorubens,AL,Native
Helianthus debilis,AL,Native
Helianthus decapetalus,AL,Native
Helianthus divaricatus,AL,Native
Helianthus eggertii,AL,Native
Helianthus floridanus,AL,Native
Helianthus giganteus,AL,Native
Helianthus ×glaucus,AL,Native
Helianthus grosseserratus,AL,Native
Helianthus heterophyllus,AL,Native
Helianthus hirsutus,AL,Native
Helianthus ×laetiflorus,AL,Native
Helianthus longifolius,AL,Native
Helianthus maximiliani,AL,Native
Helianthus microcephalus,AL,Native
Helianthus mollis,AL,Native
Helianthus occidentalis,AL,Native
Helianthus porteri,AL,Native
Helianthus radula,AL,Native
Helianthus resinosus,AL,Native
Helianthus silphioides,AL,Native
Helianthus simulans,AL,Native
Helianthus smithii,AL,Native
Helianthus strumosus,AL,Native
Helianthus tuberosus,AL,Native
Helianthus verticillatus,AL,Native
Heliopsis gracilis,AL,Native
Heliopsis helianthoides,AL,Native
Heterotheca camporum,AL,Native
Heterotheca subaxillaris,AL,Native
Hieracium gronovii,AL,Native
Hieracium marianum,AL,Native
Hieracium ×scribneri,AL,Native
Hieracium venosum,AL,Native
Hymenopappus scabiosaeus,AL,Native
Hymenoxys odorata,AL,Native
Ionactis linariifolia,AL,Native
Iva annua,AL,Native
Iva frutescens,AL,Native
Iva imbricata,AL,Native
Iva microcephala,AL,Native
Jamesianthus alabamensis,AL,Native
Krigia biflora,AL,Native
Krigia caespitosa,AL,Native
Krigia dandelion,AL,Native
Krigia virginica,AL,Native
Lactuca canadensis,AL,Native
Lactuca floridana,AL,Native
Lactuca graminifolia,AL,Native
Lactuca hirsuta,AL,Native
Lactuca tatarica,AL,Native
Laennecia coulteri,AL,Native
Liatris aspera,AL,Native
Liatris ×boykinii,AL,Native
Liatris chapmanii,AL,Native
Liatris cylindracea,AL,Native
Liatris elegans,AL,Native
Liatris elegantula,AL,Native
Liatris ×freemaniana,AL,Native
Liatris gracilis,AL,Native
Liatris hirsuta,AL,Native
Liatris ×macdanieliana,AL,Native
Liatris microcephala,AL,Native
Liatris oligocephala,AL,Native
Liatris pauciflora,AL,Native
Liatris scariosa,AL,Native
Liatris spicata,AL,Native
Liatris squarrosa,AL,Native
Liatris squarrulosa,AL,Native
Liatris tenuifolia,AL,Native
Lygodesmia aphylla,AL,Native
Marshallia graminifolia,AL,Native
Marshallia mohrii,AL,Native
Marshallia obovata,AL,Native
Marshallia trinervia,AL,Native
Melampodium divaricatum,AL,Native
Melanthera nivea,AL,Native
Mikania cordifolia,AL,Native
Mikania scandens,AL,Native
Nabalus altissimus,AL,Native
Nabalus barbatus,AL,Native
Nabalus serpentarius,AL,Native
Oclemena reticulata,AL,Native
Packera anonyma,AL,Native
Packera aurea,AL,Native
Packera glabella,AL,Native
Packera obovata,AL,Native
Packera paupercula,AL,Native
Packera plattensis,AL,Native
Packera tomentosa,AL,Native
Parthenium auriculatum,AL,Native
Parthenium hysterophorus,AL,Native
Parthenium integrifolium,AL,Native
Pectis prostrata,AL,Native
Phoebanthus tenuifolius,AL,Native
Pityopsis aspera,AL,Native
Pityopsis graminifolia,AL,Native
Pityopsis oligantha,AL,Native
Pityopsis pinifolia,AL,Native
Plectocephalus americanus,AL,Native
Pluchea baccharis,AL,Native
Pluchea camphorata,AL,Native
Pluchea foetida,AL,Native
Pluchea odorata,AL,Native
Pluchea yucatanensis,AL,Native
Polymnia canadensis,AL,Native
Polymnia laevigata,AL,Native
Pseudognaphalium helleri,AL,Native
Pseudognaphalium obtusifolium,AL,Native
Pterocaulon pycnostachyum,AL,Native
Pyrrhopappus carolinianus,AL,Native
Pyrrhopappus pauciflorus,AL,Native
Ratibida columnifera,AL,Native
Ratibida pinnata,AL,Native
Rudbeckia auriculata,AL,Native
Rudbeckia fulgida,AL,Native
Rudbeckia heliopsidis,AL,Native
Rudbeckia hirta,AL,Native
Rudbeckia laciniata,AL,Native
Rudbeckia mollis,AL,Native
Rudbeckia nitida,AL,Native
Rudbeckia terranigrae,AL,Native
Rudbeckia triloba,AL,Native
Sclerolepis uniflora,AL,Native
Senecio hieraciifolius,AL,Native
Sericocarpus asteroides,AL,Native
Sericocarpus linifolius,AL,Native
Sericocarpus tortifolius,AL,Native
Silphium asteriscus,AL,Native
Silphium brachiatum,AL,Native
Silphium compositum,AL,Native
Silphium glutinosum,AL,Native
Silphium integrifolium,AL,Native
Silphium laciniatum,AL,Native
Silphium mohrii,AL,Native
Silphium perfoliatum,AL,Native
Silphium perplexum,AL,Native
Silphium terebinthinaceum,AL,Native
Smallanthus uvedalia,AL,Native
Solidago altissima,AL,Native
Solidago arenicola,AL,Native
Solidago arguta,AL,Native
Solidago auriculata,AL,Native
Solidago bicolor,AL,Native
Solidago brachyphylla,AL,Native
Solidago caesia,AL,Native
Solidago curtisii,AL,Native
Solidago erecta,AL,Native
Solidago fistulosa,AL,Native
Solidago flaccidifolia,AL,Native
Solidago flexicaulis,AL,Native
Solidago gigantea,AL,Native
Solidago gracillima,AL,Native
Solidago hispida,AL,Native
Solidago juncea,AL,Native
Solidago latissimifolia,AL,Native
Solidago leavenworthii,AL,Native
Solidago nemoralis,AL,Native
Solidago odora,AL,Native
Solidago patula,AL,Native
Solidago petiolaris,AL,Native
Solidago porteri,AL,Native
Solidago ptarmicoides,AL,Native
Solidago puberula,AL,Native
Solidago rigida,AL,Native
Solidago rugosa,AL,Native
Solidago salicina,AL,Native
Solidago sempervirens,AL,Native
Solidago speciosa,AL,Native
Solidago sphacelata,AL,Native
Solidago tarda,AL,Native
Solidago tortifolia,AL,Native
Solidago uliginosa,AL,Native
Solidago ulmifolia,AL,Native
Solidago virgata,AL,Native
Stokesia laevis,AL,Native
Symphyotrichum adnatum,AL,Native
Symphyotrichum bahamense,AL,Native
Symphyotrichum chapmanii,AL,Native
Symphyotrichum concolor,AL,Native
Symphyotrichum cordifolium,AL,Native
Symphyotrichum divaricatum,AL,Native
Symphyotrichum drummondii,AL,Native
Symphyotrichum dumosum,AL,Native
Symphyotrichum elliottii,AL,Native
Symphyotrichum ericoides,AL,Native
Symphyotrichum georgianum,AL,Native
Symphyotrichum kralii,AL,Native
Symphyotrichum laeve,AL,Native
Symphyotrichum lanceolatum,AL,Native
Symphyotrichum lateriflorum,AL,Native
Symphyotrichum novae-angliae,AL,Native
Symphyotrichum oblongifolium,AL,Native
Symphyotrichum ontarionis,AL,Native
Symphyotrichum oolentangiense,AL,Native
Symphyotrichum patens,AL,Native
Symphyotrichum phlogifolium,AL,Native
Symphyotrichum pilosum,AL,Native
Symphyotrichum praealtum,AL,Native
Symphyotrichum pratense,AL,Native
Symphyotrichum prenanthoides,AL,Native
Symphyotrichum priceae,AL,Native
Symphyotrichum puniceum,AL,Native
Symphyotrichum racemosum,AL,Native
Symphyotrichum shortii,AL,Native
Symphyotrichum subulatum,AL,Native
Symphyotrichum tenuifolium,AL,Native
Symphyotrichum undulatum,AL,Native
Symphyotrichum urophyllum,AL,Native
Tetragonotheca helianthoides,AL,Native
Thelesperma filifolium,AL,Native
Thymophylla tenuiloba,AL,Native
Verbesina alternifolia,AL,Native
Verbesina aristata,AL,Native
Verbesina encelioides,AL,Native
Verbesina helianthoides,AL,Native
Verbesina occidentalis,AL,Native
Verbesina virginica,AL,Native
Verbesina walteri,AL,Native
Vernonia angustifolia,AL,Native
