"Symbol","Scientific Name","Duration","Growth Habit","Native Status","Invasive"
"ABFR3","Abutilon fruticosum Guill. & Perr.","","","",""
"ABGL","Abutilon glabriflorum Hochr. [excluded]","","","",""
"ABGR3","Abutilon grandifolium","","","",""
"ABHI","Abutilon hirtum","","","",""
"ABHU","Abutilon hulseanum","","","",""
"ABHY","Abutilon hypoleucum A. Gray","","","",""
"ABIN","Abutilon incanum","","","",""
"ABIN","Abutilon incanum","","","",""
"ABIN","Abutilon incanum","","","",""
"ABINA","Abutilon indicum","","","",""
"ABIN3","Abutilon indicum","","","",""
"ABAB","Abutilon jacquinii G. Don","","","",""
"ABAB","Abutilon lignosum","","","",""
"ABMA3","Abutilon malacum S. Watson","","","",""
"ALHO4","Abutilon marshii Standl.","","","",""
"ABMA8","Abutilon mauritianum","","","",""
"ABME3","Abutilon megapotamicum","","","",""
"ABME2","Abutilon menziesii Seem.","","","",""
"ABMO2","Abutilon mollicomum","","","",""
"HONE","Abutilon newberryi S. Watson","","","",""
"ABPA","Abutilon palmeri A. Gray","","","",""
"ABPA2","Abutilon parishii S. Watson","","","",""
"ABPA3","Abutilon parvulum A. Gray","","","",""
"ABHU","Abutilon pauciflorum Sweet","","","",""
"ABPE","Abutilon permolle","","","",""
"ABIN","Abutilon pringlei Hochr.","","","",""
"ABRE","Abutilon reventum S. Watson","","","",""
"ABSA2","Abutilon sandwicense","","","",""
"ABSA2","Abutilon sandwicense","","","",""
"ABMO2","Abutilon sonorae A. Gray","","","",""
"ABFR3","Abutilon texense Torr. & A. Gray","","","",""
"ABTH","Abutilon theophrasti Medik.","","","",""
"ABTH2","Abutilon thurberi A. Gray","","","",""
"ABTR","Abutilon triquetrum","","","",""
"ABTR","Abutilon trisulcatum","","","",""
"PSUM2","Abutilon umbellatum","","","",""
"BAEG6","Abutilon virginianum Krapov.","","","",""
"ABWR","Abutilon wrightii A. Gray","","","",""
"ACACI","Acacia Mill.","","","",""
"VAAB","Acacia abyssinica Hochst. ex Benth.","","","",""
"VAABC","Acacia abyssinica Hochst. ex Benth. ssp. calophylla Brenan","","","",""
"ACAD","Acacia accola Maiden & Betche","","","",""
"ACAC7","Acacia acinacea Lindl.","","","",""
"ACAC8","Acacia aciphylla Benth.","","","",""
"ACAC9","Acacia aculeatissima J.F. Macbr.","","","",""
"ACAC10","Acacia acuminata Benth.","","","",""
"ACAD","Acacia adunca A. Cunn. ex G. Don","","","",""
