"Symbol","Scientific Name","Duration","Growth Habit","Native Status","Invasive"
"NOBO","Nothoscordum fragrans auct. non","","","",""
"NOGR3","Nothoscordum gracile","","","",""
"NOBO","Nothoscordum gracile Stearn, non","","","",""
"ALNE3","Nothoscordum inodorum","","","",""
"NOBO","Nothoscordum inodorum auct. non","","","",""
"NOTE2","Nothoscordum texanum M.E. Jones","","","",""
"NOTOC","Notocactus","","","",""
"PACO56","Notocactus tabularis","","","",""
"NOTOT2","Notothylas Sull.","","","",""
"NOBR3","Notothylas amazonica Spruce","","","",""
"NOORO","Notothylas angolensis Steph.","","","",""
"NOBR3","Notothylas breutelii","","","",""
"NOBR3","Notothylas cubana Steph.","","","",""
"NOORO","Notothylas decurva","","","",""
"NOORO","Notothylas fertilis","","","",""
"NOORO","Notothylas japonica Horik.","","","",""
"NOORO","Notothylas melanospora Sull.","","","",""
"NOOR","Notothylas orbicularis","","","",""
"NOORP","Notothylas orbicularis","","","",""
"NOORO","Notothylas orbicularis","","","",""
"NOORO","Notothylas valvata Sull.","","","",""
"NOTOT","Nototrichium","","","",""
"NODI","Nototrichium divaricatum D.H. Lorence","","","",""
"NOHU","Nototrichium humile Hillebr.","","","",""
"NOHU","Nototrichium humile Hillebr. var. parvifolium O. Deg. & Sherff","","","",""
"NOHU","Nototrichium humile Hillebr. var. subrhomboideum Sherff","","","",""
"NOSA","Nototrichium sandwicense","","","",""
"NOSA","Nototrichium sandwicense","","","",""
"NOSA","Nototrichium sandwicense","","","",""
"NOSA","Nototrichium sandwicense","","","",""
"NOSA","Nototrichium sandwicense","","","",""
"NOSA","Nototrichium sandwicense","","","",""
"NOSA","Nototrichium sandwicense","","","",""
"NOSA","Nototrichium sandwicense","","","",""
"NOSA","Nototrichium sandwicense","","","",""
"NOSA","Nototrichium sandwicense","","","",""
"NOSA","Nototrichium sandwicense","","","",""
"NOSA","Nototrichium sandwicense","","","",""
"NOSA","Nototrichium sandwicense","","","",""
"NOSA","Nototrichium sandwicense","","","",""
"NOSA","Nototrichium sandwicense","","","",""
"NOSA","Nototrichium sandwicense","","","",""
"NOSA","Nototrichium sandwicense","","","",""
"NOSA","Nototrichium sandwicense","","","",""
"NOSA","Nototrichium sandwicense","","","",""
"NOSA","Nototrichium sandwicense","","","",""
"NOSA","Nototrichium viride Hillebr.","","","",""
"NOSA","Nototrichium viride Hillebr. var. kalaupapae H. St. John","","","",""
"NOSA","Nototrichium viride Hillebr. var. oblongifolium Sherff","","","",""
"NOSA","Nototrichium viride Hillebr. var. subtruncatum Sherff","","","",""
"GEGL2","Novosieversia glacialis","","","",""
"NOWEL","Nowellia Mitt.","","","",""
"NOCU3","Nowellia curvifolia","","","",""
"POIM3","Nowodworkya imberbis Phil.","","","",""
"LYRA3","Nummularia radicans","","","",""
"NUPHA","Nuphar Sm.","","","",""
"NULUV","Nuphar advena","","","",""
"NULUA","Nuphar advena","","","",""
"NULUU","Nuphar advena","","","",""
"NULUA","Nuphar advena","","","",""
"NULUA","Nuphar advena","","","",""
"NULUA","Nuphar fluviatilis","","","",""
"NULUR","Nuphar lutea","","","",""
"NULU","Nuphar lutea","","","",""
"NULUA","Nuphar lutea","","","",""
"NULUA","Nuphar lutea","","","",""
"NULUO","Nuphar lutea","","","",""
"NULUA","Nuphar lutea","","","",""
"NULUP","Nuphar lutea","","","",""
"NULUP2","Nuphar lutea","","","",""
"NULUS","Nuphar lutea","","","",""
"NULUU","Nuphar lutea","","","",""
"NULUV","Nuphar lutea","","","",""
"NULUA","Nuphar microcarpa","","","",""
"NULUP2","Nuphar microphylla","","","",""
"NULUO","Nuphar orbiculata","","","",""
"NULUA","Nuphar ovata","","","",""
"NULUA","Nuphar ozarkana","","","",""
"NULUP","Nuphar polysepala Engelm.","","","",""
"NULUP2","Nuphar pumila","","","",""
"NULUA","Nuphar puteora Fernald","","","",""
"NULUR","Nuphar rubrodisca Morong","","","",""
"NULUS","Nuphar sagittifolia","","","",""
"NULUV","Nuphar variegata Durand","","","",""
"NULUA","Nuphar Ã—interfluitans Fernald","","","",""
"NUTTA","Nuttallanthus D.A. Sutton","","","",""
"NUCA","Nuttallanthus canadensis","","","",""
"NUFL","Nuttallanthus floridanus","","","",""
"NUTE","Nuttallanthus texanus","","","",""
"MEAR5","Nuttallia argillosa","","","",""
"OECE","Nuttallia cerasiformis Torr. & A. Gray ex Hook. & Arn.","","","",""
"MECH","Nuttallia chrysantha","","","",""
"MECR4","Nuttallia cronquistii","","","",""
"MEDE2","Nuttallia decapetala","","","",""
"MEDE3","Nuttallia densa","","","",""
"MEHUH","Nuttallia humilis","","","",""
"MELA","Nuttallia laciniata","","","",""
"MELAL3","Nuttallia laevicaulis","","","",""
"MEMA5","Nuttallia marginata Osterh.","","","",""
"MEMUM","Nuttallia multicaulis Osterh.","","","",""
"MEMUM2","Nuttallia multiflora","","","",""
"MENUN","Nuttallia nuda","","","",""
"MEPT","Nuttallia pterosperma","","","",""
"MERE2","Nuttallia reverchonii","","","",""
"MERU","Nuttallia rusbyi","","","",""
"MESI","Nuttallia sinuata","","","",""
"MESP4","Nuttallia speciosa","","","",""
"MENUS","Nuttallia stricta","","","",""
"PACHC","Nyachia pulvinata Small","","","",""
"NYCTA","Nyctaginia Choisy","","","",""
"NYCA","Nyctaginia capitata Choisy","","","",""
"ELNY","Nyctelea nyctelea","","","",""
"ORGY","Nyholmiella gymnostoma","","","",""
"OROB70","Nyholmiella obtusifolia","","","",""
"NYLAN","Nylandtia Dum.","","","",""
"NYSP","Nylandtia spinosa","","","",""
"NYMPH","Nymphaea L.","","","",""
"NULUA","Nymphaea advena Aiton","","","",""
"NYAL","Nymphaea alba L.","","","",""
"NYAM","Nymphaea amazonum Mart. & Zucc.","","","",""
"NYAMA","Nymphaea ampla","","","",""
"NYAM2","Nymphaea ampla","","","",""
"NYAMP","Nymphaea ampla","","","",""
"NYGL","Nymphaea blanda G. Mey. var. fenzliana","","","",""
"NYJA","Nymphaea blanda G. Mey., nom. illeg.","","","",""
"NULUO","Nymphaea bombycina","","","",""
"NYCA3","Nymphaea caerulea Savigny","","","",""
"NYCA2","Nymphaea capensis Thunb.","","","",""
"NYCAC2","Nymphaea capensis Thunb. var. capensis Thunb. [excluded]","","","",""
"NYCAC2","Nymphaea capensis Thunb. var. zanzibariensis","","","",""
"NULUA","Nymphaea chartacea G.S. Mill. & Standl.","","","",""
"NYCO2","Nymphaea conardii Wiersema","","","",""
"NYEL","Nymphaea elegans Hook.","","","",""
"NULUA","Nymphaea fluviatilis Harper","","","",""
"NULUV","Nymphaea fraterna G.S. Mill. & Standl.","","","",""
"NYGL","Nymphaea glandulifera Rodschied [excluded]","","","",""
"NYJA","Nymphaea jamesoniana Planch.","","","",""
"NYLE","Nymphaea leibergii Morong","","","",""
"NYLO","Nymphaea lotus L.","","","",""
"NULUA","Nymphaea macrophylla Small","","","",""
"NYME","Nymphaea mexicana Zucc.","","","",""
"NYODO","Nymphaea minor","","","",""
"NYOD","Nymphaea odorata Aiton","","","",""
"NYODO","Nymphaea odorata Aiton ssp. odorata","","","",""
"NYODT","Nymphaea odorata Aiton ssp. tuberosa","","","",""
"NYODO","Nymphaea odorata Aiton var. gigantea Tricker","","","",""
"NYODO","Nymphaea odorata Aiton var. godfreyi Ward","","","",""
"NYODT","Nymphaea odorata Aiton var. maxima","","","",""
"NYODO","Nymphaea odorata Aiton var. minor Sims","","","",""
"NYODO","Nymphaea odorata Aiton var. rosea Pursh","","","",""
"NYODO","Nymphaea odorata Aiton var. stenopetala Fernald","","","",""
"NYODO","Nymphaea odorata Aiton var. villosa Caspary","","","",""
"NULUO","Nymphaea orbiculata Small","","","",""
"NELU","Nymphaea pentapetala Walter, nom. utique rej.","","","",""
"NULUP","Nymphaea polysepala","","","",""
"NYAMP","Nymphaea pulchella DC.","","","",""
"NYODO","Nymphaea reniformis Walter, nom. utique rej.","","","",""
"NULUR","Nymphaea rubrodisca","","","",""
"NYRU","Nymphaea rudgeana G. Mey.","","","",""
"NULUS","Nymphaea sagittifolia Walter","","","",""
"NYTE","Nymphaea tetragona Georgi","","","",""
"NYLE","Nymphaea tetragona Georgi ssp. leibergii","","","",""
"NYLE","Nymphaea tetragona Georgi var. leibergii","","","",""
"NYODT","Nymphaea tuberosa Paine","","","",""
"NULUU","Nymphaea ulvacea G.S. Mill. & Standl.","","","",""
"NYCAC2","Nymphaea zanzibariensis Caspary","","","",""
"NYDA","Nymphaea Ã—daubenyana W.T. Baxter ex Daubeny","","","",""
"NYMA2","Nymphaea Ã—marliacea Marliac","","","",""
"NYTH","Nymphaea Ã—thiona Ward","","","",""
"NYMPH2","Nymphoides Hill","","","",""
"NYAQ","Nymphoides aquatica","","","",""
"NYAQ3","Nymphoides aquatica Ã— cordata [unnamed hybrid]","","","",""
"NYCO","Nymphoides cordata","","","",""
"NYCR","Nymphoides cristata","","","",""
"NYHU","Nymphoides humboldtiana","","","",""
"NYCR","Nymphoides hydrophylla auct. non","","","",""
"NYIN","Nymphoides indica","","","",""
"NYCO","Nymphoides lacunosa","","","",""
"NYPE","Nymphoides nymphaeoides","","","",""
"NYPE","Nymphoides peltata","","","",""
"NULUA","Nymphozanthus advena","","","",""
"NULUA","Nymphozanthus ozarkanus","","","",""
"NULUP","Nymphozanthus polysepalus","","","",""
"NULUR","Nymphozanthus rubrodiscus","","","",""
"NULUS","Nymphozanthus sagittifolius","","","",""
"NYPA","Nypa Steck","","","",""
"NYFR2","Nypa fruticans Wurmb","","","",""
"NYSSA","Nyssa L.","","","",""
"NYOG","Nyssa acuminata Small","","","",""
"NYAQ2","Nyssa aquatica L.","","","",""
"NYBI","Nyssa biflora Walter","","","",""
"NYOG","Nyssa ogeche W. Bartram ex Marshall","","","",""
"NYSY","Nyssa sylvatica Marshall","","","",""
"NYBI","Nyssa sylvatica Marshall var. biflora","","","",""
"NYSY","Nyssa sylvatica Marshall var. caroliniana","","","",""
"NYSY","Nyssa sylvatica Marshall var. dilatata Fernald","","","",""
"NYSY","Nyssa sylvatica Marshall var. typica Fernald","","","",""
"NYUR2","Nyssa sylvatica Marshall var. ursina","","","",""
"NYAQ2","Nyssa uniflora Wangenh.","","","",""
"NYUR2","Nyssa ursina Small","","","",""
"UVFL","Oakesiella floridana","","","",""
"UVPU2","Oakesiella puberula","","","",""
"UVSE","Oakesiella sessilifolia","","","",""
"SIVU","Oberna commutata","","","",""
"OBERO","Oberonia Lindl.","","","",""
"OBPA","Oberonia palawensis Schltr.","","","",""
"OBRO","Oberonia rotunda Hosok.","","","",""
"ATACA","Obione acanthocarpa Torr.","","","",""
"OBOLA","Obolaria L.","","","",""
"OBVI","Obolaria virginica L.","","","",""
"ZILE","Oceanorus leimanthoides","","","",""
"OCELL","Ocellularia G. Mey.","","","",""
"THAB4","Ocellularia abrosella","","","",""
"OCAM","Ocellularia americana Hale","","","",""
"OCAU","Ocellularia auberiana","","","",""
"MAOC2","Ocellularia carnea","","","",""
"OCCA","Ocellularia cavata","","","",""
"OCCO3","Ocellularia concolor Meyen & Flotow","","","",""
"OCEM","Ocellularia emersa","","","",""
"OCFI","Ocellularia fissa","","","",""
"THPO12","Ocellularia floridensis Fink","","","",""
"MYGL3","Ocellularia glaucophaea","","","",""
"OCGR4","Ocellularia granulosa","","","",""
"THLA9","Ocellularia lathraea","","","",""
"OCLE3","Ocellularia leiostoma","","","",""
"OCLE3","Ocellularia meiosperma","","","",""
"MYMI4","Ocellularia micropora","","","",""
"MYBA4","Ocellularia obturascens","","","",""
"OCPR","Ocellularia praestans","","","",""
"OCRE","Ocellularia retispora R.C. Harris","","","",""
"OCSA4","Ocellularia sanfordiana","","","",""
"OCST","Ocellularia stictidea","","","",""
"THSU6","Ocellularia subtilis","","","",""
"MYTE2","Ocellularia terebratula","","","",""
"OCHNA","Ochna L.","","","",""
"OCJA","Ochna jabotapita L.","","","",""
"OCTH","Ochna kirkii Oliv.","","","",""
"OCMO4","Ochna mossambicensis Klotzsch","","","",""
"OCSE2","Ochna serrulata","","","",""
"OCTH","Ochna thomasiana Engl. & Gilg","","","",""
"FRPU2","Ochrocodon pudicus","","","",""
"OCHRO3","Ochrolechia A. Massal.","","","",""
"OCAF","Ochrolechia africana Vain.","","","",""
"OCAN","Ochrolechia androgyna","","","",""
"OCAN2","Ochrolechia antillarum Brodo","","","",""
"OCAR","Ochrolechia arborea","","","",""
"OCBR","Ochrolechia bryophaga","","","",""
"OCOR60","Ochrolechia californica Verseghy","","","",""
"OCFR60","Ochrolechia elisabethae-kolae Verseghy","","","",""
"OCFA","Ochrolechia farinacea Howard","","","",""
"OCFR60","Ochrolechia frigida","","","",""
"PEGE2","Ochrolechia geminipara","","","",""
"OCFR60","Ochrolechia gonatodes","","","",""
"OCGO2","Ochrolechia gowardii Brodo","","","",""
"OCGR2","Ochrolechia grimmiae Lynge","","","",""
"OCGR3","Ochrolechia groenlandica Verseghy","","","",""
"OCGY","Ochrolechia gyalectina","","","",""
"OCIN60","Ochrolechia inaequatula","","","",""
"OCJU","Ochrolechia juvenalis Brodo","","","",""
"OCLA3","Ochrolechia laevigata","","","",""
"OCME3","Ochrolechia mexicana Vain.","","","",""
"OCMO3","Ochrolechia montana Brodo","","","",""
"OCOR60","Ochrolechia oregonensis H. Magn.","","","",""
"COPO5","Ochrolechia pacifica H. Magn.","","","",""
"OCYA","Ochrolechia pennsylvanica Verseghy","","","",""
"OCPS2","Ochrolechia pseudopallescens Brodo","","","",""
"OCFR60","Ochrolechia pterulina","","","",""
"OCRH2","Ochrolechia rhodoleuca","","","",""
"OCTRT","Ochrolechia rosella","","","",""
"OCSZ","Ochrolechia sorediosa Howard","","","",""
"OCSU","Ochrolechia subathallina H. Magn.","","","",""
"OCSU6","Ochrolechia subisidiata Brodo","","","",""
"OCSU2","Ochrolechia subpallescens Verseghy","","","",""
"OCSUH","Ochrolechia subplicans","","","",""
"OCSU5","Ochrolechia subplicans","","","",""
"OCSUS","Ochrolechia subplicans","","","",""
"OCSZ","Ochrolechia szatalaensis Verseghy","","","",""
"OCTA","Ochrolechia tartarea","","","",""
"OCTR","Ochrolechia trachydactyla Vain.","","","",""
"OCTRP","Ochrolechia trochophora","","","",""
"OCTRT","Ochrolechia trochophora","","","",""
"OCTR2","Ochrolechia trochophora","","","",""
"OCYA","Ochrolechia tuckermanii Verseghy","","","",""
"OCTU2","Ochrolechia turneri","","","",""
"OCUP60","Ochrolechia upsaliensis","","","",""
"OCXA","Ochrolechia xanthostoma","","","",""
"OCYA","Ochrolechia yasudae Vain.","","","",""
"OCHRO","Ochroma Sw.","","","",""
"OCPY","Ochroma lagopus Sw.","","","",""
"OCPY","Ochroma pyramidale","","","",""
"OCHRO2","Ochrosia Juss.","","","",""
"OCCO","Ochrosia compta K. Schum.","","","",""
"OCEL","Ochrosia elliptica Labill.","","","",""
"OCCO","Ochrosia forbesii H. St. John","","","",""
"OCHA","Ochrosia haleakalae H. St. John","","","",""
"OCHA","Ochrosia hamakuaensis H. St. John","","","",""
"OCCO","Ochrosia holei H. St. John","","","",""
"OCKA","Ochrosia kauaiensis H. St. John","","","",""
"OCKI","Ochrosia kilaueaensis H. St. John","","","",""
"OCKI","Ochrosia konaensis H. St. John","","","",""
"OCCO","Ochrosia kondoi H. St. John","","","",""
"OCCO","Ochrosia lamoureuxii H. St. John","","","",""
"OCMA2","Ochrosia mariannensis A. DC.","","","",""
"OCCO","Ochrosia microcalyx H. St. John","","","",""
"NEOP","Ochrosia oppositifolia","","","",""
"OCCO","Ochrosia sandwicensis auct. non A. DC.","","","",""
"OCHTH","Ochthochloa Edgew.","","","",""
"OCCO4","Ochthochloa compressa","","","",""
"OCIMU","Ocimum L.","","","",""
"OCBA","Ocimum americanum L.","","","",""
"OCCA4","Ocimum americanum auct.","","","",""
"OCBA","Ocimum basilicum L.","","","",""
"OCCA5","Ocimum campechianum Mill.","","","",""
"OCCA4","Ocimum canum Sims","","","",""
"OCGR","Ocimum gratissimum L.","","","",""
"OCKI2","Ocimum kilimandscharicum Guerke","","","",""
"OCCA5","Ocimum micranthum Willd.","","","",""
"FRSA","Ocimum salinum Molina","","","",""
"OCTE2","Ocimum sanctum L.","","","",""
"OCTE2","Ocimum tenuiflorum L.","","","",""
"OCGR","Ocimum viride Willd.","","","",""
"OCLEM","Oclemena Greene","","","",""
"OCAC","Oclemena acuminata","","","",""
"OCNE2","Oclemena nemoralis","","","",""
"OCRE2","Oclemena reticulata","","","",""
"OCBL","Oclemena Ã—blakei","","","",""
"OCOTE","Ocotea Aubl.","","","",""
"NECO","Ocotea coriacea","","","",""
"OCNE","Ocotea cuneata","","","",""
"OCFL","Ocotea floribunda","","","",""
"OCFO","Ocotea foeniculacea Mez","","","",""
"OCFO3","Ocotea foetens","","","",""
"NEHI2","Ocotea globosa","","","",""
"NEKR","Ocotea krugii","","","",""
"OCLE","Ocotea leucoxylon","","","",""
"NEME3","Ocotea membranacea","","","",""
"OCMO","Ocotea moschata","","","",""
"OCNE","Ocotea nemodaphne Mez","","","",""
"NEPA4","Ocotea patens","","","",""
"OCPO","Ocotea portoricensis Mez","","","",""
"NETU","Ocotea sintenisii","","","",""
"OCSP","Ocotea spathulata Mez","","","",""
"OCWR","Ocotea wrightii","","","",""
"DIMO5","Octadesmia montana","","","",""
"OCTOB","Octoblepharum Hedw.","","","",""
"OCAL2","Octoblepharum albidum Hedw.","","","",""
"ODONT4","Odontites Ludwig","","","",""
"ODVES","Odontites serotinus Dumort.","","","",""
"ODVES","Odontites vernus","","","",""
"ODVE","Odontites vernus","","","",""
"ODVES","Odontites vulgaris Moench","","","",""
"ODONT7","Odontoglossum H.B.","","","",""
"ODTR","Odontoglossum triumphans Rchb. f. & Warsz.","","","",""
"ODONT5","Odontonema Nees","","","",""
"ODCA2","Odontonema callistachyum","","","",""
"ODCU","Odontonema cuspidatum","","","",""
"ODNI","Odontonema nitidum","","","",""
"ODTU","Odontonema strictum","","","",""
"ODTU","Odontonema tubiforme","","","",""
"PAERC","Odontonychia corymbosa Small","","","",""
"PAERE","Odontonychia erecta","","","",""
"PARUI","Odontonychia interior Small","","","",""
"ODONT6","Odontoschisma","","","",""
"ODDEL","Odontoschisma denudatum","","","",""
"ODDED","Odontoschisma denudatum","","","",""
"ODDE3","Odontoschisma denudatum","","","",""
"ODEL","Odontoschisma elongatum","","","",""
"ODGI","Odontoschisma gibbsiae A. Evans","","","",""
"ODMA","Odontoschisma macounii","","","",""
"ODPR","Odontoschisma prostratum","","","",""
"ODSP","Odontoschisma sphagni","","","",""
"ODONT","Odontosoria FÃ©e","","","",""
"ODAC","Odontosoria aculeata","","","",""
"ODCH","Odontosoria chinensis","","","",""
"ODCL","Odontosoria clavata L.","","","",""
"ODSC","Odontosoria scandens","","","",""
"ODSC","Odontosoria uncinella","","","",""
"MABA3","Odontostephana baldwyniana","","","",""
"MACA9","Odontostephana carolinensis","","","",""
"MADE3","Odontostephana decipiens Alexander","","","",""
"MAFL3","Odontostephana flavidula","","","",""
"MAFL5","Odontostephana floridana","","","",""
"MAOB2","Odontostephana obliqua","","","",""
"MAOB2","Odontostephana shortii","","","",""
"ODONT2","Odontostomum Torr.","","","",""
"ODHA","Odontostomum hartwegii Torr.","","","",""
"PSDE2","Odontotrichum decompositum","","","",""
"MAAQ2","Odostemon aquifolium","","","",""
"MADI11","Odostemon dictyota","","","",""
"MAPIP2","Odostemon fascicularis","","","",""
"MAFR3","Odostemon fremontii","","","",""
"MANE2","Odostemon nervosus","","","",""
"MANE3","Odostemon nevinii","","","",""
"MARE11","Odostemon pumilus","","","",""
"MARE11","Odostemon repens","","","",""
"BEWI","Odostemon wilcoxii","","","",""
"OECEO","Oeceoclades Lindl.","","","",""
"OEMA2","Oeceoclades maculata","","","",""
"EUPU20","Oeceoclades pulchra","","","",""
"FLTR","Oedera trinervia Spreng.","","","",""
"OEDIP","Oedipodium SchwÃ¤gr.","","","",""
"OEGR7","Oedipodium griffithianum","","","",""
"OEMLE","Oemleria Rchb.","","","",""
"OECE","Oemleria cerasiformis","","","",""
"OENAN","Oenanthe L.","","","",""
"OEAQ","Oenanthe aquatica","","","",""
"OEJA2","Oenanthe javanica","","","",""
"OEJAS","Oenanthe javanica","","","",""
"OEJAJ","Oenanthe javanica","","","",""
"OELA7","Oenanthe laciniata","","","",""
"OEPI","Oenanthe pimpinelloides L.","","","",""
"OESA","Oenanthe sarmentosa C. Presl ex DC.","","","",""
"OEJAS","Oenanthe stolonifera Wall. ex DC.","","","",""
"OENOT","Oenothera L.","","","",""
"CAPAP5","Oenothera abramsii J.F. Macbr.","","","",""
"OEAC","Oenothera acutissima W.L. Wagner","","","",""
"OEAF","Oenothera affinis Camb.","","","",""
"OEAL","Oenothera albicaulis Pursh","","","",""
"OEVIV","Oenothera albinervis R.R. Gates","","","",""
"CABOA","Oenothera alyssoides Hook. & Arn.","","","",""
"CABOA","Oenothera alyssoides Hook. & Arn. var. villosa S. Watson","","","",""
"OEPU","Oenothera amplexicaulis","","","",""
"CAAN14","Oenothera andina Nutt.","","","",""
"CAHI12","Oenothera andina Nutt. var. hilgardii","","","",""
"OEOA","Oenothera angustissima R.R. Gates","","","",""
"CAAR20","Oenothera arenaria","","","",""
"OEFRF","Oenothera arenicola","","","",""
"OEAR","Oenothera argillicola Mack.","","","",""
"OEAR","Oenothera argillicola Mack. var. pubescens Core & Davis","","","",""
"OEAR5","Oenothera arida W.L. Wagner & Hoch","","","",""
"OEAR4","Oenothera arizonica","","","",""
"OENU2","Oenothera austromontana","","","",""
"OECAA2","Oenothera avita","","","",""
"OEAR4","Oenothera avita","","","",""
"OECAE2","Oenothera avita","","","",""
"OEBI","Oenothera biennis L.","","","",""
"OENU2","Oenothera biennis L. ssp. austromontana Munz","","","",""
"OEBI","Oenothera biennis L. ssp. caeciarum Munz","","","",""
"OEBI","Oenothera biennis L. ssp. centralis Munz","","","",""
"OENU2","Oenothera biennis L. var. austromontana","","","",""
"OEVIV","Oenothera biennis L. var. canescens Torr. & A. Gray","","","",""
"OEELH","Oenothera biennis L. var. hirsutissima A. Gray ex S. Watson","","","",""
"OEELH2","Oenothera biennis L. var. hookeri","","","",""
"OENU2","Oenothera biennis L. var. nutans","","","",""
"OEOA","Oenothera biennis L. var. oakesiana A. Gray","","","",""
"OEBI","Oenothera biennis L. var. pycnocarpa","","","",""
"OEVIS","Oenothera biennis L. var. strigosa","","","",""
"OECO6","Oenothera bifrons D. Don, non Lindl.","","","",""
"CABI12","Oenothera bistorta Nutt. ex Torr. & A. Gray","","","",""
"CAPAH2","Oenothera bistorta Nutt. ex Torr. & A. Gray var. hallii","","","",""
"CABI12","Oenothera bistorta Nutt. ex Torr. & A. Gray var. veitchiana Hook.","","","",""
"CABOB","Oenothera boothii Douglas ex Lehm.","","","",""
"CABOA","Oenothera boothii Douglas ex Lehm. ssp. alyssoides","","","",""
"CABOC","Oenothera boothii Douglas ex Lehm. ssp. condensata","","","",""
"CABOD","Oenothera boothii Douglas ex Lehm. ssp. decorticans","","","",""
"CABOD2","Oenothera boothii Douglas ex Lehm. ssp. desertorum","","","",""
"CABOI","Oenothera boothii Douglas ex Lehm. ssp. intermedia Munz","","","",""
"CABOD2","Oenothera boothii Douglas ex Lehm. ssp. inyoensis Munz","","","",""
"CABOD","Oenothera boothii Douglas ex Lehm. ssp. rutila","","","",""
"CAPY5","Oenothera boothii Douglas ex Lehm. var. pygmaea","","","",""
"OEBO","Oenothera boquillensis","","","",""
"OEBR","Oenothera brachycarpa A. Gray","","","",""
"OEBR","Oenothera brachycarpa A. Gray var. wrightii","","","",""
"CABR22","Oenothera breviflora Torr. & A. Gray","","","",""
"CABRB4","Oenothera brevipes A. Gray","","","",""
"CABRA","Oenothera brevipes A. Gray ssp. arizonica P.H. Raven","","","",""
"CABRP","Oenothera brevipes A. Gray ssp. pallidula","","","",""
"CABRP","Oenothera brevipes A. Gray var. pallidula Munz","","","",""
"OECA10","Oenothera caespitosa Nutt.","","","",""
"OEBR","Oenothera caespitosa Nutt. ssp. australis Wooton & Standl.","","","",""
"OECAC2","Oenothera caespitosa Nutt. ssp. caespitosa","","","",""
"OECAC3","Oenothera caespitosa Nutt. ssp. crinita","","","",""
"OECAM3","Oenothera caespitosa Nutt. ssp. eximia","","","",""
"OECAC3","Oenothera caespitosa Nutt. ssp. jonesii","","","",""
"OECAM3","Oenothera caespitosa Nutt. ssp. macroglottis","","","",""
"OECAM4","Oenothera caespitosa Nutt. ssp. marginata","","","",""
"OECAC2","Oenothera caespitosa Nutt. ssp. montana","","","",""
"OECAN","Oenothera caespitosa Nutt. ssp. navajoensis W.L. Wagner, Stockhouse & Klein","","","",""
"OECAC2","Oenothera caespitosa Nutt. ssp. purpurea","","","",""
"OEBR","Oenothera caespitosa Nutt. var. australis","","","",""
"OECAC3","Oenothera caespitosa Nutt. var. crinita","","","",""
"OECAM3","Oenothera caespitosa Nutt. var. eximia","","","",""
"OECAC3","Oenothera caespitosa Nutt. var. jonesii Munz","","","",""
"OECAM3","Oenothera caespitosa Nutt. var. longiflora","","","",""
"OECAM3","Oenothera caespitosa Nutt. var. macroglottis","","","",""
"OECAM4","Oenothera caespitosa Nutt. var. marginata","","","",""
"OECAC2","Oenothera caespitosa Nutt. var. montana","","","",""
"OECAN","Oenothera caespitosa Nutt. var. navajoensis","","","",""
"OEPS2","Oenothera caespitosa Nutt. var. psammophila","","","",""
"OECAC2","Oenothera caespitosa Nutt. var. purpurea","","","",""
"OECA4","Oenothera calcicola","","","",""
"OECAC","Oenothera californica","","","",""
"OECA2","Oenothera californica","","","",""
"OEAR4","Oenothera californica","","","",""
"OECAA2","Oenothera californica","","","",""
"OECAE2","Oenothera californica","","","",""
"OECAC","Oenothera californica","","","",""
"CACA32","Oenothera californica","","","",""
"CACAC8","Oenothera campestris Greene","","","",""
"CACAC8","Oenothera campestris Greene ssp. parishii","","","",""
"OECA3","Oenothera canescens Torr. & FrÃ©m.","","","",""
"OEVIV","Oenothera canovirens Steele","","","",""
"CACAC9","Oenothera cardiophylla Torr.","","","",""
"CACAR2","Oenothera cardiophylla Torr. ssp. robusta P.H. Raven","","","",""
"CAAR20","Oenothera cardiophylla Torr. var. splendens Munz & I.M. Johnst.","","","",""
"CACAC9","Oenothera cardiophylla Torr. var. typica Munz","","","",""
"OECA5","Oenothera cavernae Munz","","","",""
"OEBR","Oenothera cespitosa Nutt. ssp. australis Wooton & Standl., orth. var.","","","",""
"OECAC2","Oenothera cespitosa Nutt. ssp. cespitosa Nutt., orth. var.","","","",""
"OECAC3","Oenothera cespitosa Nutt. ssp. crinita","","","",""
"OECAM3","Oenothera cespitosa Nutt. ssp. eximia","","","",""
"OECAC3","Oenothera cespitosa Nutt. ssp. jonesii","","","",""
"OECAM3","Oenothera cespitosa Nutt. ssp. macroglottis","","","",""
"OECAM4","Oenothera cespitosa Nutt. ssp. marginata","","","",""
"OECAC2","Oenothera cespitosa Nutt. ssp. montana","","","",""
"OECAN","Oenothera cespitosa Nutt. ssp. navajoensis W.L. Wagner, Stockhouse & Klein, orth. var.","","","",""
"OECAC2","Oenothera cespitosa Nutt. ssp. purpurea","","","",""
"OEBR","Oenothera cespitosa Nutt. var. australis","","","",""
"OECAC3","Oenothera cespitosa Nutt. var. crinita","","","",""
"OECAM3","Oenothera cespitosa Nutt. var. eximia","","","",""
"OECAC3","Oenothera cespitosa Nutt. var. jonesii Munz, orth. var.","","","",""
"OECAM3","Oenothera cespitosa Nutt. var. longiflora","","","",""
"OECAM3","Oenothera cespitosa Nutt. var. macroglottis","","","",""
"OECAM4","Oenothera cespitosa Nutt. var. marginata","","","",""
"OECAC2","Oenothera cespitosa Nutt. var. montana","","","",""
